,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
0,0,0.5022662180453316,2021-03-13 20:11:35.360826,2021-03-13 20:13:48.319963,0 days 00:02:12.959137,128,0.3748321662847928,1.0,0.05,110.0,COMPLETE
1,1,0.49973614078052786,2021-03-13 20:13:48.320709,2021-03-13 20:14:15.431824,0 days 00:00:27.111115,512,0.007809150983452718,0.01,0.1,170.0,COMPLETE
2,2,0.5012090984375798,2021-03-13 20:14:15.433186,2021-03-13 20:14:31.776354,0 days 00:00:16.343168,512,0.2372330072992193,0.1,0.005,15.0,COMPLETE
3,3,0.6627026237441863,2021-03-13 20:14:31.777196,2021-03-13 20:14:55.102142,0 days 00:00:23.324946,256,0.00163345876110695,1e-05,0.005,110.0,COMPLETE
4,4,0.5004324026216403,2021-03-13 20:14:55.103027,2021-03-13 20:15:15.375658,0 days 00:00:20.272631,128,0.7438159327920405,0.01,0.05,20.0,COMPLETE
5,5,0.5543360803550186,2021-03-13 20:15:15.376975,2021-03-13 20:15:31.723591,0 days 00:00:16.346616,512,0.24973286104060582,1e-05,0.05,30.0,COMPLETE
6,6,0.500062974851501,2021-03-13 20:15:31.724861,2021-03-13 20:15:48.918607,0 days 00:00:17.193746,1024,0.05572619319129037,0.01,0.001,95.0,COMPLETE
7,7,0.4984461469951197,2021-03-13 20:15:48.919924,2021-03-13 20:16:05.705410,0 days 00:00:16.785486,512,0.026351252231361925,1e-05,0.1,110.0,COMPLETE
8,8,0.6953849389253901,2021-03-13 20:16:05.706687,2021-03-13 20:16:22.613131,0 days 00:00:16.906444,2048,0.0025448050634013235,0.001,0.01,40.0,COMPLETE
9,9,0.5039830228679221,2021-03-13 20:16:22.614521,2021-03-13 20:16:44.710139,0 days 00:00:22.095618,128,0.014436667144263006,1.0,0.1,65.0,COMPLETE
10,10,0.6903594540136508,2021-03-13 20:16:44.711477,2021-03-13 20:17:02.965552,0 days 00:00:18.254075,2048,0.0010893636905192517,0.001,0.01,190.0,COMPLETE
11,11,0.6963113823200594,2021-03-13 20:17:02.966799,2021-03-13 20:17:21.201300,0 days 00:00:18.234501,2048,0.001464847908208035,0.001,0.01,200.0,COMPLETE
12,12,0.687889579517565,2021-03-13 20:17:21.202585,2021-03-13 20:17:39.151212,0 days 00:00:17.948627,2048,0.003466110839491888,0.001,0.01,155.0,COMPLETE
13,13,0.8077906055762607,2021-03-13 20:17:39.152091,2021-03-13 20:17:55.648366,0 days 00:00:16.496275,2048,0.002787513537436563,0.0001,0.01,55.0,COMPLETE
14,14,0.8083948081245038,2021-03-13 20:17:55.649263,2021-03-13 20:18:12.246958,0 days 00:00:16.597695,2048,0.005387491555259257,0.0001,0.01,65.0,COMPLETE
15,15,0.8084254599524852,2021-03-13 20:18:12.248221,2021-03-13 20:18:28.581427,0 days 00:00:16.333206,2048,0.005725519805279592,0.0001,0.01,65.0,COMPLETE
16,16,0.8083357651962477,2021-03-13 20:18:28.582317,2021-03-13 20:18:45.028967,0 days 00:00:16.446650,2048,0.007117123377819359,0.0001,0.01,80.0,COMPLETE
17,17,0.6253941624893784,2021-03-13 20:18:45.030267,2021-03-13 20:19:56.919509,0 days 00:01:11.889242,1024,0.07760987407965803,0.0001,0.001,145.0,COMPLETE
18,18,0.6785023114172204,2021-03-13 20:19:56.921019,2021-03-13 20:20:14.269024,0 days 00:00:17.348005,256,0.007497565536016104,0.0001,0.01,55.0,COMPLETE
19,19,0.8082859356305102,2021-03-13 20:20:14.269861,2021-03-13 20:20:31.024181,0 days 00:00:16.754320,2048,0.01776929378361186,0.0001,0.01,80.0,COMPLETE
20,20,0.5015015320249355,2021-03-13 20:20:31.025495,2021-03-13 20:20:54.855423,0 days 00:00:23.829928,2048,0.004172749326364401,0.1,0.001,135.0,COMPLETE
21,21,0.8093352503449891,2021-03-13 20:20:54.856820,2021-03-13 20:21:11.824229,0 days 00:00:16.967409,2048,0.007755968306702729,0.0001,0.01,85.0,COMPLETE
22,22,0.8082897214523046,2021-03-13 20:21:11.825561,2021-03-13 20:21:28.719993,0 days 00:00:16.894432,2048,0.012941202277320363,0.0001,0.01,80.0,COMPLETE
