,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.5030970329143294,2021-04-21 02:27:14.456888,2021-04-21 02:30:40.739838,0 days 00:03:26.282950,0.42897295086576076,128,0.8474044870453413,1.0,0.05,110.0,COMPLETE
1,1,0.5054201561930108,2021-04-21 02:30:40.740594,2021-04-21 02:31:46.823556,0 days 00:01:06.082962,0.48183141658775414,2048,0.3840580773069519,0.001,0.001,125.0,COMPLETE
2,2,0.8118792431321502,2021-04-21 02:31:46.824641,2021-04-21 02:32:30.944489,0 days 00:00:44.119848,0.03551895806288528,256,0.08804217040183916,1e-05,0.005,160.0,COMPLETE
3,3,0.5028775500880371,2021-04-21 02:32:30.945318,2021-04-21 02:35:02.429875,0 days 00:02:31.484557,0.23680454902880999,128,0.8011098412276646,0.01,0.01,5.0,COMPLETE
4,4,0.5029965445930437,2021-04-21 02:35:02.431006,2021-04-21 02:37:05.474374,0 days 00:02:03.043368,0.0716775003512358,128,0.9447242481325343,0.01,0.005,105.0,COMPLETE
5,5,0.5023121220957826,2021-04-21 02:37:05.475471,2021-04-21 02:37:41.657898,0 days 00:00:36.182427,0.36845935164630195,1024,0.2173338040699475,0.1,0.05,105.0,COMPLETE
6,6,0.5035337006730489,2021-04-21 02:37:41.658711,2021-04-21 02:39:58.186463,0 days 00:02:16.527752,0.19324510407394985,128,0.9026958770538752,0.1,0.1,30.0,COMPLETE
7,7,0.8062575553673746,2021-04-21 02:39:58.187609,2021-04-21 02:40:42.210495,0 days 00:00:44.022886,0.04964107589913658,256,0.969839258679002,1e-05,0.005,90.0,COMPLETE
8,8,0.5042971243256495,2021-04-21 02:40:42.211567,2021-04-21 02:41:32.843736,0 days 00:00:50.632169,0.3753433199230869,512,0.6082228380467523,0.01,0.05,135.0,COMPLETE
9,9,0.503647649551649,2021-04-21 02:41:32.844847,2021-04-21 02:41:56.512495,0 days 00:00:23.667648,0.494186930655775,2048,0.10294276593728004,0.001,0.05,70.0,COMPLETE
10,10,0.8170011614091299,2021-04-21 02:41:56.513297,2021-04-21 02:42:47.366809,0 days 00:00:50.853512,0.006196470233869017,256,0.022204637306370248,0.0001,0.005,195.0,COMPLETE
11,11,0.8160086993827423,2021-04-21 02:42:47.367619,2021-04-21 02:43:37.687413,0 days 00:00:50.319794,0.009536032844667367,256,0.010696337751567864,0.0001,0.005,200.0,COMPLETE
12,12,0.8126256075180259,2021-04-21 02:43:37.688787,2021-04-21 02:44:28.068939,0 days 00:00:50.380152,0.13394900134499663,256,0.0022319158626442903,0.0001,0.005,200.0,COMPLETE
13,13,0.81136942724725,2021-04-21 02:44:28.070074,2021-04-21 02:45:18.508206,0 days 00:00:50.438132,0.1460171279636605,256,0.279198540603442,0.0001,0.005,195.0,COMPLETE
14,14,0.8037353739888524,2021-04-21 02:45:18.509074,2021-04-21 02:47:36.716276,0 days 00:02:18.207202,0.003977031338782133,256,0.027970329782774313,0.0001,0.01,170.0,COMPLETE
15,15,0.8250299179885909,2021-04-21 02:47:36.717154,2021-04-21 02:49:11.198576,0 days 00:01:34.481422,0.10247027114429999,512,0.5163760043153482,0.0001,0.001,175.0,COMPLETE
16,16,0.8251110260806366,2021-04-21 02:49:11.199772,2021-04-21 02:50:48.948134,0 days 00:01:37.748362,0.09971750182273259,512,0.5697795290771972,0.0001,0.001,175.0,COMPLETE
17,17,0.5035771402227177,2021-04-21 02:50:48.949482,2021-04-21 02:51:35.849691,0 days 00:00:46.900209,0.1120594294551392,512,0.5807562822721309,1.0,0.001,165.0,COMPLETE
18,18,0.8237720242297516,2021-04-21 02:51:35.850865,2021-04-21 02:53:16.762407,0 days 00:01:40.911542,0.27281226448040197,512,0.7160222631002926,0.0001,0.001,150.0,COMPLETE
19,19,0.824081992554342,2021-04-21 02:53:16.763599,2021-04-21 02:54:57.283708,0 days 00:01:40.520109,0.20160175933180274,512,0.45193979380446925,0.0001,0.001,175.0,COMPLETE
20,20,0.8253282699662806,2021-04-21 02:54:57.285122,2021-04-21 02:57:15.701813,0 days 00:02:18.416691,0.08558164041604142,512,0.5924422445204494,0.0001,0.001,140.0,COMPLETE
21,21,0.8250985946414335,2021-04-21 02:57:15.702999,2021-04-21 02:59:35.428598,0 days 00:02:19.725599,0.08464859705487543,512,0.5941643287232096,0.0001,0.001,145.0,COMPLETE
22,22,0.8247891030689445,2021-04-21 02:59:35.430063,2021-04-21 03:01:54.604033,0 days 00:02:19.173970,0.16652014513810826,512,0.6857969765057701,0.0001,0.001,140.0,COMPLETE
23,23,0.8255746508385515,2021-04-21 03:01:54.604950,2021-04-21 03:04:12.017060,0 days 00:02:17.412110,0.08123383668799262,512,0.6772882961056967,0.0001,0.001,130.0,COMPLETE
24,24,0.8091546792049941,2021-04-21 03:04:12.018288,2021-04-21 03:08:09.802171,0 days 00:03:57.783883,0.2544228195302408,1024,0.7197987744413689,0.0001,0.001,75.0,COMPLETE
