,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.4988838131137504,2021-04-17 22:45:30.728699,2021-04-17 22:47:48.174212,0 days 00:02:17.445513,0.18579456176227568,1024,0.08625265649057129,1.0,0.05,55.0,COMPLETE
1,1,0.4996243116545506,2021-04-17 22:47:48.175010,2021-04-17 22:48:38.886032,0 days 00:00:50.711022,0.19636627605010293,16384,0.04450973669432,0.001,0.001,65.0,COMPLETE
2,2,0.4991805079934103,2021-04-17 22:48:38.887398,2021-04-17 22:49:01.469112,0 days 00:00:22.581714,0.1071036058197887,2048,0.017841636973138664,1e-05,0.005,80.0,COMPLETE
3,3,0.5010259999988107,2021-04-17 22:49:01.470009,2021-04-17 22:49:34.416227,0 days 00:00:32.946218,0.14736080452737105,1024,0.08208196767816799,0.01,0.01,5.0,COMPLETE
4,4,0.49908479872746353,2021-04-17 22:49:34.417120,2021-04-17 22:49:57.965997,0 days 00:00:23.548877,0.11433532874090464,1024,0.09502020253446256,0.01,0.005,55.0,COMPLETE
5,5,0.5008480304899066,2021-04-17 22:49:57.966886,2021-04-17 22:50:23.025949,0 days 00:00:25.059063,0.17369181771289582,8192,0.02948953189819347,0.1,0.05,55.0,COMPLETE
6,6,0.5033372659913574,2021-04-17 22:50:23.026820,2021-04-17 22:50:46.794927,0 days 00:00:23.768107,0.1386488981125862,1024,0.09123386279764642,0.1,0.1,15.0,COMPLETE
7,7,0.7060601797410787,2021-04-17 22:50:46.796353,2021-04-17 22:54:22.476607,0 days 00:03:35.680254,0.10992803503589739,2048,0.0972828160972074,1e-05,0.005,45.0,COMPLETE
8,8,0.5025453012922566,2021-04-17 22:54:22.477949,2021-04-17 22:54:47.185480,0 days 00:00:24.707531,0.17506861412184563,4096,0.0647047601843921,0.01,0.05,70.0,COMPLETE
9,9,0.5030091887764641,2021-04-17 22:54:47.186858,2021-04-17 22:55:11.954698,0 days 00:00:24.767840,0.19883738380592264,16384,0.019184032967322528,0.001,0.05,35.0,COMPLETE
10,10,0.49703250140057464,2021-04-17 22:55:11.955945,2021-04-17 22:55:36.374902,0 days 00:00:24.418957,0.13112188568202995,2048,0.06705449003700564,0.0001,0.005,95.0,COMPLETE
11,11,0.6858070596959044,2021-04-17 22:55:36.376242,2021-04-17 22:56:37.644571,0 days 00:01:01.268329,0.12924627545815318,2048,0.0981775085111763,1e-05,0.1,25.0,COMPLETE
12,12,0.6840266725473612,2021-04-17 22:56:37.646042,2021-04-17 22:57:39.130651,0 days 00:01:01.484609,0.12162624768128177,2048,0.09980374208730844,1e-05,0.1,30.0,COMPLETE
13,13,0.6782526573598231,2021-04-17 22:57:39.132084,2021-04-17 22:58:32.318735,0 days 00:00:53.186651,0.10447506997195159,2048,0.07491085763380988,1e-05,0.1,35.0,COMPLETE
14,14,0.4965874046134388,2021-04-17 22:58:32.319921,2021-04-17 22:58:55.472230,0 days 00:00:23.152309,0.1227559310988535,2048,0.04877229012760495,1e-05,0.005,20.0,COMPLETE
15,15,0.7163532755524824,2021-04-17 22:58:55.473851,2021-04-17 23:02:21.031368,0 days 00:03:25.557517,0.10024328141912654,2048,0.09942770008456858,1e-05,0.01,45.0,COMPLETE
16,16,0.73407357700827,2021-04-17 23:02:21.032752,2021-04-17 23:04:43.028714,0 days 00:02:21.995962,0.10155469403681744,4096,0.07842580813915295,1e-05,0.01,45.0,COMPLETE
