,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.4988852741282547,2021-04-17 22:45:35.897700,2021-04-17 22:47:52.666713,0 days 00:02:16.769013,0.7721524764043048,1024,1.0,0.05,55.0,COMPLETE
1,1,0.5039993875119616,2021-04-17 22:47:52.667670,2021-04-17 22:48:14.576098,0 days 00:00:21.908428,0.26778817054395965,4096,0.01,0.1,85.0,COMPLETE
2,2,0.49863519586401456,2021-04-17 22:48:14.576894,2021-04-17 22:48:40.654050,0 days 00:00:26.077156,0.7125546170240173,4096,0.1,0.005,10.0,COMPLETE
3,3,0.4993596001766177,2021-04-17 22:48:40.654850,2021-04-17 22:49:03.157361,0 days 00:00:22.502511,0.06394174201751628,2048,1e-05,0.005,55.0,COMPLETE
4,4,0.504614764257979,2021-04-17 22:49:03.158193,2021-04-17 22:49:30.946877,0 days 00:00:27.788684,0.8614400715061522,1024,0.01,0.05,10.0,COMPLETE
5,5,0.5041358629273527,2021-04-17 22:49:30.947704,2021-04-17 22:49:54.134193,0 days 00:00:23.186489,0.7192447162094091,4096,1e-05,0.05,15.0,COMPLETE
6,6,0.5020790569609672,2021-04-17 22:49:54.135434,2021-04-17 22:50:18.822935,0 days 00:00:24.687501,0.5238219926696757,8192,0.01,0.001,50.0,COMPLETE
7,7,0.6874236273891765,2021-04-17 22:50:18.823782,2021-04-17 22:51:02.407062,0 days 00:00:43.583280,0.42624564140779825,4096,1e-05,0.1,55.0,COMPLETE
8,8,0.502748439979976,2021-04-17 22:51:02.407983,2021-04-17 22:51:45.083200,0 days 00:00:42.675217,0.1217050038831728,16384,0.001,0.01,20.0,COMPLETE
9,9,0.5025377937282512,2021-04-17 22:51:45.084188,2021-04-17 22:52:09.447382,0 days 00:00:24.363194,0.3478462181234645,1024,1.0,0.1,35.0,COMPLETE
10,10,0.5608469479550544,2021-04-17 22:52:09.448388,2021-04-17 22:52:44.806056,0 days 00:00:35.357668,0.4995884346722088,2048,0.0001,0.1,95.0,COMPLETE
11,11,0.5584302966794493,2021-04-17 22:52:44.806915,2021-04-17 22:53:20.795098,0 days 00:00:35.988183,0.5044919513455992,2048,0.0001,0.1,100.0,COMPLETE
12,12,0.5663658712917375,2021-04-17 22:53:20.796323,2021-04-17 22:53:56.509707,0 days 00:00:35.713384,0.42011479743354124,2048,0.0001,0.1,80.0,COMPLETE
13,13,0.6802808466657998,2021-04-17 22:53:56.510601,2021-04-17 22:54:32.844983,0 days 00:00:36.334382,0.30934969571377197,4096,1e-05,0.1,75.0,COMPLETE
14,14,0.6832660812123521,2021-04-17 22:54:32.846179,2021-04-17 22:55:09.930192,0 days 00:00:37.084013,0.165105509489358,4096,1e-05,0.1,70.0,COMPLETE
15,15,0.49868576490814587,2021-04-17 22:55:09.931064,2021-04-17 22:55:32.047225,0 days 00:00:22.116161,0.17683825693735764,4096,1e-05,0.01,65.0,COMPLETE
16,16,0.4985640726526731,2021-04-17 22:55:32.048126,2021-04-17 22:56:01.738092,0 days 00:00:29.689966,0.5987683367771731,4096,1e-05,0.001,40.0,COMPLETE
17,17,0.504424296667105,2021-04-17 22:56:01.738967,2021-04-17 22:56:24.312437,0 days 00:00:22.573470,0.2259119378633431,16384,0.001,0.1,70.0,COMPLETE
18,18,0.5026458703538175,2021-04-17 22:56:24.313614,2021-04-17 22:56:47.467927,0 days 00:00:23.154313,0.014399294758995596,8192,0.1,0.1,35.0,COMPLETE
19,19,0.5007992595188888,2021-04-17 22:56:47.469219,2021-04-17 22:57:10.948983,0 days 00:00:23.479764,0.39046849377265175,4096,1e-05,0.005,60.0,COMPLETE
20,20,0.7457254944857417,2021-04-17 22:57:10.949912,2021-04-17 22:59:15.462014,0 days 00:02:04.512102,0.6137004084156787,4096,1e-05,0.01,90.0,COMPLETE
21,21,0.7421436790166103,2021-04-17 22:59:15.463040,2021-04-17 23:01:18.086539,0 days 00:02:02.623499,0.6873391930438376,4096,1e-05,0.01,90.0,COMPLETE
22,22,0.7447452127065898,2021-04-17 23:01:18.087711,2021-04-17 23:03:21.308140,0 days 00:02:03.220429,0.6354008429769891,4096,1e-05,0.01,90.0,COMPLETE
23,23,0.7453431931272729,2021-04-17 23:03:21.309030,2021-04-17 23:05:24.211070,0 days 00:02:02.902040,0.622352036034134,4096,1e-05,0.01,90.0,COMPLETE
24,24,0.5012216875125584,2021-04-17 23:05:24.212463,2021-04-17 23:05:46.392219,0 days 00:00:22.179756,0.602346228010889,4096,1e-05,0.01,100.0,COMPLETE
25,25,0.7448302181189052,2021-04-17 23:05:46.393084,2021-04-17 23:06:44.735497,0 days 00:00:58.342413,0.8701851729058523,16384,1e-05,0.01,90.0,COMPLETE
