,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.49888625710906587,2021-04-17 22:45:39.932981,2021-04-17 22:47:53.358474,0 days 00:02:13.425493,0.18579456176227568,1024,0.08625265649057129,1.0,0.05,55.0,COMPLETE
1,1,0.4996341594049461,2021-04-17 22:47:53.359372,2021-04-17 22:48:39.922082,0 days 00:00:46.562710,0.19636627605010293,16384,0.04450973669432,0.001,0.001,65.0,COMPLETE
2,2,0.49917095629069064,2021-04-17 22:48:39.923276,2021-04-17 22:49:01.670341,0 days 00:00:21.747065,0.1071036058197887,2048,0.017841636973138664,1e-05,0.005,80.0,COMPLETE
3,3,0.5010206993356618,2021-04-17 22:49:01.671548,2021-04-17 22:49:33.713509,0 days 00:00:32.041961,0.14736080452737105,1024,0.08208196767816799,0.01,0.01,5.0,COMPLETE
4,4,0.4990905889586305,2021-04-17 22:49:33.715069,2021-04-17 22:49:55.324216,0 days 00:00:21.609147,0.11433532874090464,1024,0.09502020253446256,0.01,0.005,55.0,COMPLETE
5,5,0.5008143669214997,2021-04-17 22:49:55.325457,2021-04-17 22:50:19.173652,0 days 00:00:23.848195,0.17369181771289582,8192,0.02948953189819347,0.1,0.05,55.0,COMPLETE
6,6,0.5033218266565039,2021-04-17 22:50:19.174840,2021-04-17 22:50:41.763965,0 days 00:00:22.589125,0.1386488981125862,1024,0.09123386279764642,0.1,0.1,15.0,COMPLETE
7,7,0.738461290641143,2021-04-17 22:50:41.765296,2021-04-17 22:54:12.525828,0 days 00:03:30.760532,0.10992803503589739,2048,0.0972828160972074,1e-05,0.005,45.0,COMPLETE
8,8,0.5024337579612218,2021-04-17 22:54:12.527109,2021-04-17 22:54:36.289611,0 days 00:00:23.762502,0.17506861412184563,4096,0.0647047601843921,0.01,0.05,70.0,COMPLETE
9,9,0.5027602395944856,2021-04-17 22:54:36.290821,2021-04-17 22:55:00.371871,0 days 00:00:24.081050,0.19883738380592264,16384,0.019184032967322528,0.001,0.05,35.0,COMPLETE
10,10,0.49705044368396045,2021-04-17 22:55:00.373080,2021-04-17 22:55:23.832334,0 days 00:00:23.459254,0.13112188568202995,2048,0.06705449003700564,0.0001,0.005,95.0,COMPLETE
11,11,0.6795007430976087,2021-04-17 22:55:23.833703,2021-04-17 22:56:12.909492,0 days 00:00:49.075789,0.12924627545815318,2048,0.0981775085111763,1e-05,0.1,25.0,COMPLETE
12,12,0.6782259220759865,2021-04-17 22:56:12.910794,2021-04-17 22:57:02.415831,0 days 00:00:49.505037,0.12162624768128177,2048,0.09980374208730844,1e-05,0.1,30.0,COMPLETE
13,13,0.6786175752088743,2021-04-17 22:57:02.417080,2021-04-17 22:57:54.879198,0 days 00:00:52.462118,0.10447506997195159,2048,0.07491085763380988,1e-05,0.1,35.0,COMPLETE
14,14,0.49658277678591695,2021-04-17 22:57:54.881142,2021-04-17 22:58:17.480176,0 days 00:00:22.599034,0.1227559310988535,2048,0.04877229012760495,1e-05,0.005,20.0,COMPLETE
15,15,0.7524315151757986,2021-04-17 22:58:17.481416,2021-04-17 23:01:37.368440,0 days 00:03:19.887024,0.10024328141912654,2048,0.09942770008456858,1e-05,0.01,45.0,COMPLETE
16,16,0.7513410306104992,2021-04-17 23:01:37.369857,2021-04-17 23:03:52.110853,0 days 00:02:14.740996,0.10155469403681744,4096,0.07842580813915295,1e-05,0.01,45.0,COMPLETE
