,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_learning_rate,params_rank,state
0,0,0.4992643394677556,2021-04-17 22:45:44.497694,2021-04-17 22:48:00.186839,0 days 00:02:15.689145,0.18579456176227568,1024,0.08625265649057129,0.05,55.0,COMPLETE
1,1,0.6849658690607427,2021-04-17 22:48:00.187782,2021-04-17 22:48:45.622803,0 days 00:00:45.435021,0.12975346065444723,4096,0.015104167958569888,0.1,65.0,COMPLETE
2,2,0.49944800437004305,2021-04-17 22:48:45.623556,2021-04-17 22:49:07.453831,0 days 00:00:21.830275,0.139278479610083,2048,0.08524708871836398,0.001,30.0,COMPLETE
3,3,0.7090806337083256,2021-04-17 22:49:07.454959,2021-04-17 22:49:45.562108,0 days 00:00:38.107149,0.1368241539840548,16384,0.09614396430577418,0.05,35.0,COMPLETE
4,4,0.5039723818122825,2021-04-17 22:49:45.563336,2021-04-17 22:50:07.210296,0 days 00:00:21.646960,0.14736080452737105,1024,0.08208196767816799,0.01,15.0,COMPLETE
5,5,0.49922616213348553,2021-04-17 22:50:07.211450,2021-04-17 22:50:31.426056,0 days 00:00:24.214606,0.15820197920751072,8192,0.05836359065041097,0.001,55.0,COMPLETE
6,6,0.6889562264777946,2021-04-17 22:50:31.426837,2021-04-17 22:51:22.843245,0 days 00:00:51.416408,0.14736004193466576,4096,0.026769910899408396,0.1,80.0,COMPLETE
7,7,0.75008029812611,2021-04-17 22:51:22.844081,2021-04-17 22:53:03.033975,0 days 00:01:40.189894,0.11352181734054521,16384,0.03917269070138927,0.01,75.0,COMPLETE
8,8,0.6722217701906001,2021-04-17 22:53:03.035270,2021-04-17 22:54:31.374055,0 days 00:01:28.338785,0.1386488981125862,1024,0.09123386279764642,0.1,15.0,COMPLETE
9,9,0.693934698762288,2021-04-17 22:54:31.374954,2021-04-17 22:58:07.656513,0 days 00:03:36.281559,0.1697631195927265,1024,0.015420292446634285,0.005,45.0,COMPLETE
10,10,0.7398290373116038,2021-04-17 22:58:07.657597,2021-04-17 22:59:11.211706,0 days 00:01:03.554109,0.10223377856039614,16384,0.04096240199541641,0.01,100.0,COMPLETE
11,11,0.7490218110600458,2021-04-17 22:59:11.212700,2021-04-17 23:00:51.583312,0 days 00:01:40.370612,0.10029380040135044,16384,0.04090279987125496,0.01,95.0,COMPLETE
12,12,0.7353993387356079,2021-04-17 23:00:51.584167,2021-04-17 23:01:50.748193,0 days 00:00:59.164026,0.10844293281122086,16384,0.05577692349593105,0.01,100.0,COMPLETE
13,13,0.49854782591506724,2021-04-17 23:01:50.749123,2021-04-17 23:02:13.378624,0 days 00:00:22.629501,0.11706781509443406,16384,0.03978753524430215,0.01,80.0,COMPLETE
14,14,0.7520089526150038,2021-04-17 23:02:13.379571,2021-04-17 23:03:58.351697,0 days 00:01:44.972126,0.11925164812895789,16384,0.035366457143492465,0.01,85.0,COMPLETE
15,15,0.49920559643195034,2021-04-17 23:03:58.352964,2021-04-17 23:04:20.382677,0 days 00:00:22.029713,0.12073894248847966,2048,0.06947663533077578,0.01,80.0,COMPLETE
16,16,0.5017140212054824,2021-04-17 23:04:20.383615,2021-04-17 23:04:42.980655,0 days 00:00:22.597040,0.11620464250778179,16384,0.028806028471511803,0.005,70.0,COMPLETE
17,17,0.7504579306461233,2021-04-17 23:04:42.981506,2021-04-17 23:06:18.716142,0 days 00:01:35.734636,0.12778298946238503,8192,0.03316166343886007,0.01,90.0,COMPLETE
18,18,0.7523100510436431,2021-04-17 23:06:18.717007,2021-04-17 23:07:54.568600,0 days 00:01:35.851593,0.12802039076822533,8192,0.027432366413991147,0.01,90.0,COMPLETE
19,19,0.6845476985146024,2021-04-17 23:07:54.569415,2021-04-17 23:11:41.303449,0 days 00:03:46.734034,0.16328980895084397,8192,0.010180571949417877,0.001,90.0,COMPLETE
20,20,0.7220332513880202,2021-04-17 23:11:41.304687,2021-04-17 23:12:20.547977,0 days 00:00:39.243290,0.1257864791320738,8192,0.02088498783168032,0.05,90.0,COMPLETE
21,21,0.7504716449585885,2021-04-17 23:12:20.548930,2021-04-17 23:13:56.071013,0 days 00:01:35.522083,0.13232392129103054,8192,0.03354927028157272,0.01,90.0,COMPLETE
22,22,0.4986918281183386,2021-04-17 23:13:56.071995,2021-04-17 23:14:18.368670,0 days 00:00:22.296675,0.131778731751974,8192,0.046907380853351666,0.01,65.0,COMPLETE
23,23,0.5011477845288838,2021-04-17 23:14:18.369839,2021-04-17 23:14:41.013197,0 days 00:00:22.643358,0.1043778932608778,8192,0.02410357074160447,0.01,100.0,COMPLETE
24,24,0.7461728776324175,2021-04-17 23:14:41.014077,2021-04-17 23:16:29.872095,0 days 00:01:48.858018,0.12432094902549451,8192,0.04885300225175175,0.01,85.0,COMPLETE
25,25,0.501620635465234,2021-04-17 23:16:29.872989,2021-04-17 23:16:51.939215,0 days 00:00:22.066226,0.11062902969717621,8192,0.03333016384405129,0.005,70.0,COMPLETE
26,26,0.5012231562166126,2021-04-17 23:16:51.940487,2021-04-17 23:17:13.957816,0 days 00:00:22.017329,0.1429252294206809,4096,0.06260326632321986,0.01,100.0,COMPLETE
27,27,0.7505827730539221,2021-04-17 23:17:13.958668,2021-04-17 23:19:01.289956,0 days 00:01:47.331288,0.13474884410619892,8192,0.018991726784447063,0.01,85.0,COMPLETE
28,28,0.5007245452876868,2021-04-17 23:19:01.290824,2021-04-17 23:19:24.819408,0 days 00:00:23.528584,0.15566997988225567,2048,0.018065755354799172,0.01,60.0,COMPLETE
29,29,0.7179592572985569,2021-04-17 23:19:24.820234,2021-04-17 23:20:04.956354,0 days 00:00:40.136120,0.12034444273160683,8192,0.011539409429509028,0.05,75.0,COMPLETE
30,30,0.7490849884030307,2021-04-17 23:20:04.957599,2021-04-17 23:22:30.158502,0 days 00:02:25.200903,0.19930061311738756,8192,0.02329236065444378,0.01,45.0,COMPLETE
31,31,0.7525279690465059,2021-04-17 23:22:30.159458,2021-04-17 23:24:34.005201,0 days 00:02:03.845743,0.13254241093119068,8192,0.029398666358301555,0.01,85.0,COMPLETE
32,32,0.7524432865952914,2021-04-17 23:24:34.006440,2021-04-17 23:26:39.450246,0 days 00:02:05.443806,0.13310514145388647,8192,0.02984349524596098,0.01,85.0,COMPLETE
33,33,0.7019917157196733,2021-04-17 23:26:39.451875,2021-04-17 23:27:23.862033,0 days 00:00:44.410158,0.12642808893716714,8192,0.030102990721990516,0.1,95.0,COMPLETE
34,34,0.7439982139328372,2021-04-17 23:27:23.863066,2021-04-17 23:29:38.921677,0 days 00:02:15.058611,0.14068144009057815,4096,0.04676355951539668,0.01,85.0,COMPLETE
35,35,0.5957897178638479,2021-04-17 23:29:38.923155,2021-04-17 23:33:12.960603,0 days 00:03:34.037448,0.14437094942681247,2048,0.03580468621237394,0.001,75.0,COMPLETE
36,36,0.49869071185199365,2021-04-17 23:33:12.961775,2021-04-17 23:33:34.913890,0 days 00:00:21.952115,0.15112014444571925,8192,0.027855883168835773,0.01,65.0,COMPLETE
37,37,0.6694279900605081,2021-04-17 23:33:34.914840,2021-04-17 23:34:53.918649,0 days 00:01:19.003809,0.13510748836361056,1024,0.012842694523444102,0.05,95.0,COMPLETE
38,38,0.49987979182768155,2021-04-17 23:34:53.919532,2021-04-17 23:35:16.033845,0 days 00:00:22.114313,0.12086606827456578,16384,0.025534441695206307,0.01,5.0,COMPLETE
39,39,0.7245507075380536,2021-04-17 23:35:16.034700,2021-04-17 23:36:14.275588,0 days 00:00:58.240888,0.13099854508798717,8192,0.050201644653083896,0.1,80.0,COMPLETE
40,40,0.5022407681979404,2021-04-17 23:36:14.276488,2021-04-17 23:36:48.651023,0 days 00:00:34.374535,0.15029586175403406,4096,0.03781828589752274,0.001,50.0,COMPLETE
41,41,0.750509953015209,2021-04-17 23:36:48.652442,2021-04-17 23:38:35.891556,0 days 00:01:47.239114,0.13783783041102649,8192,0.020228753217714064,0.01,85.0,COMPLETE
42,42,0.7505911649161799,2021-04-17 23:38:35.892825,2021-04-17 23:40:22.671701,0 days 00:01:46.778876,0.1357960549881596,8192,0.017335476846955238,0.01,85.0,COMPLETE
43,43,0.7497698645837433,2021-04-17 23:40:22.673283,2021-04-17 23:42:27.053374,0 days 00:02:04.380091,0.12302341189259106,8192,0.01642827577769084,0.01,75.0,COMPLETE
44,44,0.4969344724537044,2021-04-17 23:42:27.054847,2021-04-17 23:42:49.118992,0 days 00:00:22.064145,0.14584261088374256,8192,0.04351834818165653,0.01,95.0,COMPLETE
45,45,0.4992369595433088,2021-04-17 23:42:49.120198,2021-04-17 23:43:11.297677,0 days 00:00:22.177479,0.11426580827565629,16384,0.030411146955481853,0.01,30.0,COMPLETE
46,46,0.5018534045523736,2021-04-17 23:43:11.299049,2021-04-17 23:43:33.012129,0 days 00:00:21.713080,0.12912974381186398,1024,0.022934964014897995,0.005,70.0,COMPLETE
47,47,0.4989309641528967,2021-04-17 23:43:33.013388,2021-04-17 23:43:54.891144,0 days 00:00:21.877756,0.13914875846668662,8192,0.014874517578472354,0.01,80.0,COMPLETE
48,48,0.7520888790795293,2021-04-17 23:43:54.892425,2021-04-17 23:45:38.149097,0 days 00:01:43.256672,0.11091061881457681,16384,0.03562455387167532,0.01,85.0,COMPLETE
49,49,0.7430213104293285,2021-04-17 23:45:38.150507,2021-04-17 23:47:08.433109,0 days 00:01:30.282602,0.10645039961980798,16384,0.052847549220938685,0.01,95.0,COMPLETE
50,50,0.7145595342187334,2021-04-17 23:47:08.434382,2021-04-17 23:47:40.956128,0 days 00:00:32.521746,0.11021840073845654,16384,0.043463555275931764,0.1,60.0,COMPLETE
51,51,0.7513389095762847,2021-04-17 23:47:40.957315,2021-04-17 23:49:24.347729,0 days 00:01:43.390414,0.11811253635914432,16384,0.03729758992084029,0.01,85.0,COMPLETE
52,52,0.7537776529291044,2021-04-17 23:49:24.349010,2021-04-17 23:51:03.223666,0 days 00:01:38.874656,0.11925102088853286,16384,0.03701993449001826,0.01,90.0,COMPLETE
53,53,0.7555701959746416,2021-04-17 23:51:03.224845,2021-04-17 23:52:42.648093,0 days 00:01:39.423248,0.11346591769906626,16384,0.03147492246452131,0.01,90.0,COMPLETE
54,54,0.7555036211321384,2021-04-17 23:52:42.649254,2021-04-17 23:54:27.223226,0 days 00:01:44.573972,0.11370502148327066,16384,0.031701996478146484,0.01,90.0,COMPLETE
55,55,0.755933141454112,2021-04-17 23:54:27.224208,2021-04-17 23:56:07.885981,0 days 00:01:40.661773,0.1001848374853935,16384,0.03097451999786972,0.01,90.0,COMPLETE
56,56,0.7532649637156792,2021-04-17 23:56:07.886942,2021-04-17 23:57:46.297419,0 days 00:01:38.410477,0.101518857741496,16384,0.030216931039452558,0.01,100.0,COMPLETE
57,57,0.7387131708232717,2021-04-17 23:57:46.298306,2021-04-17 23:58:47.021622,0 days 00:01:00.723316,0.10081796031202744,16384,0.044454215040338606,0.01,100.0,COMPLETE
58,58,0.7525832005211341,2021-04-17 23:58:47.022834,2021-04-18 00:00:28.678425,0 days 00:01:41.655591,0.10466620766168346,16384,0.03155312008187107,0.01,95.0,COMPLETE
59,59,0.5010513780770682,2021-04-18 00:00:28.679740,2021-04-18 00:00:51.416973,0 days 00:00:22.737233,0.10362878281900664,16384,0.039285666093662304,0.005,100.0,COMPLETE
60,60,0.7354654944976349,2021-04-18 00:00:51.418159,2021-04-18 00:01:27.621269,0 days 00:00:36.203110,0.10017520019483923,16384,0.032237360123914656,0.05,90.0,COMPLETE
