,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.5023896917132262,2021-04-17 22:45:10.309482,2021-04-17 22:47:43.444140,0 days 00:02:33.134658,128,1.0,0.05,110.0,COMPLETE
1,1,0.8131009114208334,2021-04-17 22:47:43.444895,2021-04-17 22:47:54.181990,0 days 00:00:10.737095,1024,0.0001,0.01,175.0,COMPLETE
2,2,0.717809249556718,2021-04-17 22:47:54.183011,2021-04-17 22:49:25.805486,0 days 00:01:31.622475,128,1e-05,0.1,90.0,COMPLETE
3,3,0.7990160280057923,2021-04-17 22:49:25.806357,2021-04-17 22:49:45.317346,0 days 00:00:19.510989,256,1e-05,0.005,80.0,COMPLETE
4,4,0.789719866975706,2021-04-17 22:49:45.318194,2021-04-17 22:49:50.983306,0 days 00:00:05.665112,2048,0.0001,0.05,15.0,COMPLETE
5,5,0.5037583495953646,2021-04-17 22:49:50.984269,2021-04-17 22:51:06.301859,0 days 00:01:15.317590,128,1.0,0.01,75.0,COMPLETE
6,6,0.7481210930549769,2021-04-17 22:51:06.302851,2021-04-17 22:51:16.326721,0 days 00:00:10.023870,1024,0.0001,0.05,95.0,COMPLETE
7,7,0.8083877273305248,2021-04-17 22:51:16.327506,2021-04-17 22:51:36.887602,0 days 00:00:20.560096,256,1e-05,0.005,140.0,COMPLETE
8,8,0.7209343224152044,2021-04-17 22:51:36.888454,2021-04-17 22:51:58.398643,0 days 00:00:21.510189,512,1e-05,0.1,110.0,COMPLETE
9,9,0.5052033980306099,2021-04-17 22:51:58.399597,2021-04-17 22:52:22.466384,0 days 00:00:24.066787,512,0.01,0.1,95.0,COMPLETE
10,10,0.5046210812233225,2021-04-17 22:52:22.467385,2021-04-17 22:52:33.721330,0 days 00:00:11.253945,1024,0.1,0.001,195.0,COMPLETE
11,11,0.8151201987910675,2021-04-17 22:52:33.722341,2021-04-17 22:53:36.076783,0 days 00:01:02.354442,256,0.001,0.01,180.0,COMPLETE
12,12,0.8133443882063792,2021-04-17 22:53:36.077827,2021-04-17 22:55:40.848523,0 days 00:02:04.770696,256,0.001,0.01,200.0,COMPLETE
13,13,0.8142300013720207,2021-04-17 22:55:40.849505,2021-04-17 22:57:04.726277,0 days 00:01:23.876772,256,0.001,0.01,195.0,COMPLETE
14,14,0.8150189914968545,2021-04-17 22:57:04.727062,2021-04-17 22:58:10.589995,0 days 00:01:05.862933,256,0.001,0.01,160.0,COMPLETE
15,15,0.8140416996710698,2021-04-17 22:58:10.590978,2021-04-17 22:59:18.545519,0 days 00:01:07.954541,256,0.001,0.01,155.0,COMPLETE
16,16,0.816196069366549,2021-04-17 22:59:18.546650,2021-04-17 23:01:05.728250,0 days 00:01:47.181600,256,0.001,0.01,140.0,COMPLETE
17,17,0.7982169094619872,2021-04-17 23:01:05.729124,2021-04-17 23:01:31.802396,0 days 00:00:26.073272,2048,0.001,0.001,135.0,COMPLETE
18,18,0.5031072138785592,2021-04-17 23:01:31.803334,2021-04-17 23:01:56.822053,0 days 00:00:25.018719,256,0.01,0.01,45.0,COMPLETE
19,19,0.8157348898855411,2021-04-17 23:01:56.823128,2021-04-17 23:03:43.897898,0 days 00:01:47.074770,256,0.001,0.01,130.0,COMPLETE
20,20,0.5032786793097359,2021-04-17 23:03:43.898731,2021-04-17 23:04:25.369462,0 days 00:00:41.470731,512,0.1,0.001,130.0,COMPLETE
21,21,0.8140777200865585,2021-04-17 23:04:25.370264,2021-04-17 23:05:56.626851,0 days 00:01:31.256587,256,0.001,0.01,170.0,COMPLETE
22,22,0.8156482555702126,2021-04-17 23:05:56.627728,2021-04-17 23:08:36.263411,0 days 00:02:39.635683,256,0.001,0.01,125.0,COMPLETE
23,23,0.8153423319489341,2021-04-17 23:08:36.264406,2021-04-17 23:09:59.078214,0 days 00:01:22.813808,256,0.001,0.01,120.0,COMPLETE
24,24,0.816196275702808,2021-04-17 23:09:59.079156,2021-04-17 23:11:46.168852,0 days 00:01:47.089696,256,0.001,0.01,140.0,COMPLETE
25,25,0.7972869852643409,2021-04-17 23:11:46.169958,2021-04-17 23:12:24.294617,0 days 00:00:38.124659,2048,0.001,0.005,150.0,COMPLETE
26,26,0.8161962539157496,2021-04-17 23:12:24.295580,2021-04-17 23:14:09.282308,0 days 00:01:44.986728,256,0.001,0.01,140.0,COMPLETE
27,27,0.8136382392341225,2021-04-17 23:14:09.283081,2021-04-17 23:16:25.576548,0 days 00:02:16.293467,256,0.001,0.01,145.0,COMPLETE
28,28,0.5002541127148186,2021-04-17 23:16:25.577363,2021-04-17 23:16:59.332919,0 days 00:00:33.755556,256,0.1,0.01,165.0,COMPLETE
29,29,0.5050653603549726,2021-04-17 23:16:59.333816,2021-04-17 23:18:34.375172,0 days 00:01:35.041356,128,1.0,0.05,110.0,COMPLETE
30,30,0.5065207435454481,2021-04-17 23:18:34.376536,2021-04-17 23:19:15.228810,0 days 00:00:40.852274,256,0.01,0.01,60.0,COMPLETE
31,31,0.8153457794305276,2021-04-17 23:19:15.229652,2021-04-17 23:20:39.555271,0 days 00:01:24.325619,256,0.001,0.01,120.0,COMPLETE
32,32,0.8161962090600411,2021-04-17 23:20:39.556165,2021-04-17 23:22:19.825477,0 days 00:01:40.269312,256,0.001,0.01,140.0,COMPLETE
33,33,0.8058197534000269,2021-04-17 23:22:19.826263,2021-04-17 23:22:52.416123,0 days 00:00:32.589860,1024,0.001,0.01,180.0,COMPLETE
34,34,0.8136385827006901,2021-04-17 23:22:52.417133,2021-04-17 23:25:03.060470,0 days 00:02:10.643337,256,0.001,0.01,145.0,COMPLETE
35,35,0.5038324460993814,2021-04-17 23:25:03.061284,2021-04-17 23:26:10.786971,0 days 00:01:07.725687,128,1.0,0.1,105.0,COMPLETE
36,36,0.8097412406438939,2021-04-17 23:26:10.787949,2021-04-17 23:26:49.272535,0 days 00:00:38.484586,256,0.0001,0.005,155.0,COMPLETE
37,37,0.7276952323949136,2021-04-17 23:26:49.273805,2021-04-17 23:27:07.661641,0 days 00:00:18.387836,2048,0.001,0.05,175.0,COMPLETE
38,38,0.8161950927936962,2021-04-17 23:27:07.662457,2021-04-17 23:28:50.287540,0 days 00:01:42.625083,256,0.001,0.01,140.0,COMPLETE
39,39,0.8093139349123267,2021-04-17 23:28:50.288582,2021-04-17 23:28:58.960035,0 days 00:00:08.671453,1024,0.0001,0.01,120.0,COMPLETE
40,40,0.8061489520076318,2021-04-17 23:28:58.960987,2021-04-17 23:29:32.193705,0 days 00:00:33.232718,512,1e-05,0.01,185.0,COMPLETE
41,41,0.8147346678215892,2021-04-17 23:29:32.194692,2021-04-17 23:31:21.547308,0 days 00:01:49.352616,256,0.001,0.01,135.0,COMPLETE
42,42,0.8161956579756228,2021-04-17 23:31:21.548083,2021-04-17 23:33:01.519351,0 days 00:01:39.971268,256,0.001,0.01,140.0,COMPLETE
