,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.5031024309784452,2021-04-17 22:45:04.259643,2021-04-17 22:47:44.032242,0 days 00:02:39.772599,128,1.0,0.05,110.0,COMPLETE
1,1,0.8189159401050081,2021-04-17 22:47:44.032950,2021-04-17 22:48:05.811743,0 days 00:00:21.778793,1024,0.0001,0.01,175.0,COMPLETE
2,2,0.7203459705927411,2021-04-17 22:48:05.812652,2021-04-17 22:49:29.694839,0 days 00:01:23.882187,128,1e-05,0.1,90.0,COMPLETE
3,3,0.8050297969550735,2021-04-17 22:49:29.695849,2021-04-17 22:49:49.229042,0 days 00:00:19.533193,256,1e-05,0.005,80.0,COMPLETE
4,4,0.7985786604980207,2021-04-17 22:49:49.230053,2021-04-17 22:49:56.087262,0 days 00:00:06.857209,2048,0.0001,0.05,15.0,COMPLETE
5,5,0.5051480819709313,2021-04-17 22:49:56.088184,2021-04-17 22:51:33.442667,0 days 00:01:37.354483,128,1.0,0.01,75.0,COMPLETE
6,6,0.773225704000348,2021-04-17 22:51:33.443593,2021-04-17 22:51:50.458536,0 days 00:00:17.014943,1024,0.0001,0.05,95.0,COMPLETE
7,7,0.8120451336395607,2021-04-17 22:51:50.459494,2021-04-17 22:52:11.025341,0 days 00:00:20.565847,256,1e-05,0.005,140.0,COMPLETE
8,8,0.7191136420245433,2021-04-17 22:52:11.026503,2021-04-17 22:52:52.623214,0 days 00:00:41.596711,512,1e-05,0.1,110.0,COMPLETE
9,9,0.5036145819233689,2021-04-17 22:52:52.624268,2021-04-17 22:53:08.400047,0 days 00:00:15.775779,512,0.01,0.1,95.0,COMPLETE
10,10,0.50505082710543,2021-04-17 22:53:08.400853,2021-04-17 22:53:16.951037,0 days 00:00:08.550184,1024,0.1,0.001,195.0,COMPLETE
11,11,0.795666625341316,2021-04-17 22:53:16.951920,2021-04-17 22:54:21.750168,0 days 00:01:04.798248,256,0.001,0.01,180.0,COMPLETE
12,12,0.8224795967017613,2021-04-17 22:54:21.751145,2021-04-17 22:54:34.616986,0 days 00:00:12.865841,1024,0.0001,0.005,155.0,COMPLETE
13,13,0.8227118582785993,2021-04-17 22:54:34.618050,2021-04-17 22:54:47.432765,0 days 00:00:12.814715,1024,0.0001,0.005,160.0,COMPLETE
14,14,0.8230899957457308,2021-04-17 22:54:47.433730,2021-04-17 22:55:00.443292,0 days 00:00:13.009562,1024,0.0001,0.005,150.0,COMPLETE
15,15,0.8226767862409466,2021-04-17 22:55:00.444178,2021-04-17 22:55:13.274706,0 days 00:00:12.830528,1024,0.0001,0.005,145.0,COMPLETE
16,16,0.8233311041498697,2021-04-17 22:55:13.275578,2021-04-17 22:55:26.000625,0 days 00:00:12.725047,1024,0.0001,0.005,130.0,COMPLETE
17,17,0.5060160937565714,2021-04-17 22:55:26.001590,2021-04-17 22:55:33.932752,0 days 00:00:07.931162,2048,0.01,0.005,45.0,COMPLETE
18,18,0.5183943943241852,2021-04-17 22:55:33.933446,2021-04-17 22:55:50.212098,0 days 00:00:16.278652,1024,0.001,0.001,125.0,COMPLETE
19,19,0.5038296304424815,2021-04-17 22:55:50.213075,2021-04-17 22:55:59.489615,0 days 00:00:09.276540,1024,0.1,0.005,130.0,COMPLETE
20,20,0.8190942107879547,2021-04-17 22:55:59.490584,2021-04-17 22:56:11.884018,0 days 00:00:12.393434,512,0.0001,0.005,50.0,COMPLETE
21,21,0.8227118557154159,2021-04-17 22:56:11.884949,2021-04-17 22:56:24.845516,0 days 00:00:12.960567,1024,0.0001,0.005,160.0,COMPLETE
22,22,0.8222517950639363,2021-04-17 22:56:24.846394,2021-04-17 22:56:38.005569,0 days 00:00:13.159175,1024,0.0001,0.005,200.0,COMPLETE
23,23,0.8227742013054067,2021-04-17 22:56:38.006581,2021-04-17 22:56:50.917328,0 days 00:00:12.910747,1024,0.0001,0.005,170.0,COMPLETE
24,24,0.8225231721001471,2021-04-17 22:56:50.918253,2021-04-17 22:57:04.399117,0 days 00:00:13.480864,1024,0.0001,0.005,175.0,COMPLETE
25,25,0.8157370045117973,2021-04-17 22:57:04.400030,2021-04-17 22:57:20.732471,0 days 00:00:16.332441,2048,0.0001,0.005,125.0,COMPLETE
26,26,0.8260507493281948,2021-04-17 22:57:20.733523,2021-04-17 22:57:59.356663,0 days 00:00:38.623140,1024,0.0001,0.001,145.0,COMPLETE
27,27,0.5027091861087029,2021-04-17 22:57:59.357589,2021-04-17 22:58:14.491506,0 days 00:00:15.133917,1024,1.0,0.001,145.0,COMPLETE
28,28,0.5036936343423752,2021-04-17 22:58:14.492505,2021-04-17 22:58:26.446472,0 days 00:00:11.953967,1024,0.1,0.001,115.0,COMPLETE
29,29,0.8257718877966288,2021-04-17 22:58:26.447481,2021-04-17 23:04:43.254692,0 days 00:06:16.807211,128,0.001,0.001,135.0,COMPLETE
30,30,0.8254307088700887,2021-04-17 23:04:43.255654,2021-04-17 23:11:07.440730,0 days 00:06:24.185076,128,0.001,0.001,130.0,COMPLETE
31,31,0.8257784123798229,2021-04-17 23:11:07.442272,2021-04-17 23:17:36.500631,0 days 00:06:29.058359,128,0.001,0.001,135.0,COMPLETE
32,32,0.825534465250134,2021-04-17 23:17:36.501620,2021-04-17 23:23:47.809326,0 days 00:06:11.307706,128,0.001,0.001,115.0,COMPLETE
33,33,0.8260189389413434,2021-04-17 23:23:47.810593,2021-04-17 23:33:57.063387,0 days 00:10:09.252794,128,0.001,0.001,110.0,COMPLETE
34,34,0.8258066701945639,2021-04-17 23:33:57.064319,2021-04-17 23:40:02.347915,0 days 00:06:05.283596,128,0.001,0.001,105.0,COMPLETE
35,35,0.8257174585983862,2021-04-17 23:40:02.348825,2021-04-17 23:46:07.016909,0 days 00:06:04.668084,128,0.001,0.001,75.0,COMPLETE
36,36,0.825807389167491,2021-04-17 23:46:07.018155,2021-04-17 23:52:09.403948,0 days 00:06:02.385793,128,0.001,0.001,105.0,COMPLETE
37,37,0.8262165180843966,2021-04-17 23:52:09.404979,2021-04-17 23:59:56.014635,0 days 00:07:46.609656,128,0.001,0.001,80.0,COMPLETE
38,38,0.825082094148677,2021-04-17 23:59:56.015556,2021-04-18 00:04:14.615232,0 days 00:04:18.599676,128,0.001,0.001,60.0,COMPLETE
39,39,0.6549341392091119,2021-04-18 00:04:14.616214,2021-04-18 00:07:24.282195,0 days 00:03:09.665981,128,0.001,0.05,80.0,COMPLETE
40,40,0.5023643136349686,2021-04-18 00:07:24.283398,2021-04-18 00:08:34.676915,0 days 00:01:10.393517,128,1.0,0.001,25.0,COMPLETE
