,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
0,0,0.5036708322633752,2021-04-17 22:45:24.563943,2021-04-17 22:47:45.076988,0 days 00:02:20.513045,1024,0.6100761485266478,1.0,0.05,110.0,COMPLETE
1,1,0.703081483875229,2021-04-17 22:47:45.077974,2021-04-17 22:48:30.684639,0 days 00:00:45.606665,4096,0.08683890321100547,0.01,0.1,170.0,COMPLETE
2,2,0.7469059942051961,2021-04-17 22:48:30.685588,2021-04-17 22:52:01.049399,0 days 00:03:30.363811,4096,0.4845492265725183,0.1,0.005,15.0,COMPLETE
3,3,0.496475601119295,2021-04-17 22:52:01.050408,2021-04-17 22:52:26.328839,0 days 00:00:25.278431,2048,0.03949298999269448,1e-05,0.005,110.0,COMPLETE
4,4,0.5003822782898186,2021-04-17 22:52:26.329841,2021-04-17 22:52:49.208602,0 days 00:00:22.878761,1024,0.8615291093226427,0.01,0.05,20.0,COMPLETE
5,5,0.7213110129653401,2021-04-17 22:52:49.209402,2021-04-17 22:54:10.244026,0 days 00:01:21.034624,4096,0.4972427802486445,1e-05,0.05,30.0,COMPLETE
6,6,0.7511870627503987,2021-04-17 22:54:10.245019,2021-04-17 22:57:47.631067,0 days 00:03:37.386048,8192,0.23362264375152436,0.01,0.001,95.0,COMPLETE
7,7,0.7004019884007546,2021-04-17 22:57:47.632107,2021-04-17 22:58:38.579732,0 days 00:00:50.947625,4096,0.16021928846167377,1e-05,0.1,110.0,COMPLETE
8,8,0.5044579717698369,2021-04-17 22:58:38.580900,2021-04-17 22:59:00.951356,0 days 00:00:22.370456,16384,0.049372650462787986,0.001,0.01,40.0,COMPLETE
9,9,0.49972971359830076,2021-04-17 22:59:00.952471,2021-04-17 22:59:23.461007,0 days 00:00:22.508536,1024,0.11833323011883276,1.0,0.1,65.0,COMPLETE
10,10,0.4960789895082344,2021-04-17 22:59:23.462024,2021-04-17 22:59:46.097348,0 days 00:00:22.635324,8192,0.24529288238969504,0.0001,0.001,180.0,COMPLETE
