,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.5038454388757361,2021-04-17 22:45:14.735137,2021-04-17 22:47:59.605663,0 days 00:02:44.870526,128,1.0,0.05,110.0,COMPLETE
1,1,0.82596652696839,2021-04-17 22:47:59.606356,2021-04-17 22:48:20.975328,0 days 00:00:21.368972,1024,0.0001,0.01,175.0,COMPLETE
2,2,0.7165320921934807,2021-04-17 22:48:20.976285,2021-04-17 22:50:51.444977,0 days 00:02:30.468692,128,1e-05,0.1,90.0,COMPLETE
3,3,0.7993281314621056,2021-04-17 22:50:51.445763,2021-04-17 22:51:11.225724,0 days 00:00:19.779961,256,1e-05,0.005,80.0,COMPLETE
4,4,0.8077722454939903,2021-04-17 22:51:11.226964,2021-04-17 22:51:31.875027,0 days 00:00:20.648063,2048,0.0001,0.05,15.0,COMPLETE
5,5,0.5030037548277815,2021-04-17 22:51:31.875977,2021-04-17 22:52:17.079849,0 days 00:00:45.203872,128,1.0,0.01,75.0,COMPLETE
6,6,0.7776454971543231,2021-04-17 22:52:17.080685,2021-04-17 22:52:38.665138,0 days 00:00:21.584453,1024,0.0001,0.05,95.0,COMPLETE
7,7,0.8083296801989965,2021-04-17 22:52:38.666044,2021-04-17 22:52:59.221482,0 days 00:00:20.555438,256,1e-05,0.005,140.0,COMPLETE
8,8,0.7174883018362871,2021-04-17 22:52:59.222457,2021-04-17 22:53:40.163360,0 days 00:00:40.940903,512,1e-05,0.1,110.0,COMPLETE
9,9,0.5020974939387378,2021-04-17 22:53:40.164375,2021-04-17 22:53:58.750077,0 days 00:00:18.585702,512,0.01,0.1,95.0,COMPLETE
10,10,0.5045251938161336,2021-04-17 22:53:58.751071,2021-04-17 22:54:10.094890,0 days 00:00:11.343819,1024,0.1,0.001,195.0,COMPLETE
11,11,0.7977828638398254,2021-04-17 22:54:10.096018,2021-04-17 22:55:29.412867,0 days 00:01:19.316849,256,0.001,0.01,180.0,COMPLETE
12,12,0.8290923264893536,2021-04-17 22:55:29.413777,2021-04-17 22:55:51.268551,0 days 00:00:21.854774,1024,0.0001,0.005,155.0,COMPLETE
13,13,0.828606223895131,2021-04-17 22:55:51.269477,2021-04-17 22:56:04.183660,0 days 00:00:12.914183,1024,0.0001,0.005,160.0,COMPLETE
14,14,0.8288313431615899,2021-04-17 22:56:04.184603,2021-04-17 22:56:16.993612,0 days 00:00:12.809009,1024,0.0001,0.005,150.0,COMPLETE
15,15,0.8289416856412294,2021-04-17 22:56:16.994528,2021-04-17 22:56:29.918989,0 days 00:00:12.924461,1024,0.0001,0.005,145.0,COMPLETE
16,16,0.8292039069865468,2021-04-17 22:56:29.919896,2021-04-17 22:56:42.865088,0 days 00:00:12.945192,1024,0.0001,0.005,130.0,COMPLETE
17,17,0.5041570835222314,2021-04-17 22:56:42.866051,2021-04-17 22:56:50.369794,0 days 00:00:07.503743,2048,0.01,0.005,45.0,COMPLETE
18,18,0.5102740026586978,2021-04-17 22:56:50.370755,2021-04-17 22:57:03.252444,0 days 00:00:12.881689,1024,0.001,0.001,125.0,COMPLETE
19,19,0.5038292741599971,2021-04-17 22:57:03.253349,2021-04-17 22:57:19.436992,0 days 00:00:16.183643,1024,0.1,0.005,195.0,COMPLETE
20,20,0.8253079657094462,2021-04-17 22:57:19.437962,2021-04-17 22:57:37.256726,0 days 00:00:17.818764,512,0.0001,0.005,125.0,COMPLETE
21,21,0.8289470388496367,2021-04-17 22:57:37.257694,2021-04-17 22:57:51.405029,0 days 00:00:14.147335,1024,0.0001,0.005,135.0,COMPLETE
22,22,0.828940151576,2021-04-17 22:57:51.405991,2021-04-17 22:58:05.482191,0 days 00:00:14.076200,1024,0.0001,0.005,165.0,COMPLETE
23,23,0.8292649453530337,2021-04-17 22:58:05.483229,2021-04-17 22:58:19.510305,0 days 00:00:14.027076,1024,0.0001,0.005,120.0,COMPLETE
24,24,0.8292649389450754,2021-04-17 22:58:19.511296,2021-04-17 22:58:33.155143,0 days 00:00:13.643847,1024,0.0001,0.005,120.0,COMPLETE
25,25,0.8262734284441131,2021-04-17 22:58:33.156327,2021-04-17 22:59:20.224203,0 days 00:00:47.067876,2048,0.0001,0.005,65.0,COMPLETE
26,26,0.8321280788163703,2021-04-17 22:59:20.225328,2021-04-17 23:00:04.982790,0 days 00:00:44.757462,1024,0.0001,0.001,120.0,COMPLETE
27,27,0.5029570485009448,2021-04-17 23:00:04.983824,2021-04-17 23:00:28.431841,0 days 00:00:23.448017,1024,1.0,0.001,120.0,COMPLETE
28,28,0.5025477760457722,2021-04-17 23:00:28.433126,2021-04-17 23:00:36.332079,0 days 00:00:07.898953,1024,0.1,0.001,55.0,COMPLETE
29,29,0.8145895160305895,2021-04-17 23:00:36.333211,2021-04-17 23:05:14.083999,0 days 00:04:37.750788,128,0.001,0.001,110.0,COMPLETE
30,30,0.5057721837930409,2021-04-17 23:05:14.084994,2021-04-17 23:05:39.518680,0 days 00:00:25.433686,1024,0.01,0.001,110.0,COMPLETE
