model,rank,alpha,lambda,clip,iter,similarity,corruption,gamma,batch_size,learning_rate,source,AUC,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,NLL,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,metric,topK
AT-NCF,150,1,0.0001,0.270077915,500,Cosine,0,1,1024,0.0005,,"[0.7139, 0.0]","[4.5328, 0.0182]","[0.0033, 0.0004]","[0.0034, 0.0003]","[0.0035, 0.0003]","[0.0033, 0.0005]","[0.0037, 0.0002]","[0.0333, 0.0013]","[-0.6737, 0.0]","[0.0033, 0.0003]","[0.0037, 0.0003]","[0.0038, 0.0002]","[0.0031, 0.0004]","[0.0041, 0.0001]","[0.0026, 0.0005]","[0.0179, 0.0018]","[0.0307, 0.0023]","[0.0422, 0.0027]","[0.0084, 0.0012]","[0.1209, 0.0045]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
CVIB-NCF,5,0.017884334,0.0001,1,500,Cosine,0,0.213405578,1024,0.005,,"[0.7265, 0.0]","[4.5206, 0.0183]","[0.0036, 0.0004]","[0.0036, 0.0003]","[0.0036, 0.0003]","[0.0042, 0.0006]","[0.0038, 0.0002]","[0.0347, 0.0013]","[-0.6727, 0.0]","[0.003, 0.0003]","[0.0037, 0.0002]","[0.0037, 0.0002]","[0.0036, 0.0004]","[0.0042, 0.0001]","[0.004, 0.0007]","[0.0177, 0.0018]","[0.0324, 0.0024]","[0.0423, 0.0028]","[0.0105, 0.0014]","[0.1234, 0.0045]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
DIB-NCF,40,0.132684776,0.0001,1,1000,Cosine,0,0.00218395,512,0.005,,"[0.7553, 0.0]","[4.0491, 0.0256]","[0.0113, 0.0007]","[0.0108, 0.0006]","[0.0104, 0.0005]","[0.0123, 0.001]","[0.0088, 0.0003]","[0.0686, 0.0021]","[-0.6827, 0.0]","[0.0101, 0.0005]","[0.0095, 0.0004]","[0.0089, 0.0003]","[0.0108, 0.0007]","[0.0068, 0.0002]","[0.012, 0.0013]","[0.063, 0.0034]","[0.0906, 0.0041]","[0.1117, 0.0044]","[0.0339, 0.0026]","[0.2046, 0.0056]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
DIBB-NCF,90,0.639871199,1.00E-05,1,1000,Cosine,0,1,256,0.01,,"[0.7326, 0.0]","[4.2273, 0.0238]","[0.0089, 0.0006]","[0.0085, 0.0005]","[0.0083, 0.0004]","[0.0094, 0.0008]","[0.007, 0.0003]","[0.0553, 0.0019]","[-0.6831, 0.0]","[0.0081, 0.0004]","[0.0078, 0.0003]","[0.0073, 0.0003]","[0.0089, 0.0007]","[0.0056, 0.0002]","[0.0099, 0.0012]","[0.0489, 0.003]","[0.0712, 0.0036]","[0.0875, 0.0039]","[0.0271, 0.0023]","[0.1674, 0.0052]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
DIBC-NCF,90,0.108189319,1.00E-05,1,1000,Cosine,0,0.003008265,512,0.005,,"[0.7373, 0.0]","[4.1738, 0.0244]","[0.0094, 0.0006]","[0.0092, 0.0005]","[0.0089, 0.0004]","[0.0091, 0.0008]","[0.0075, 0.0003]","[0.0592, 0.0019]","[-0.6829, 0.0]","[0.0093, 0.0005]","[0.0084, 0.0004]","[0.0077, 0.0003]","[0.0097, 0.0007]","[0.006, 0.0002]","[0.0094, 0.0012]","[0.0585, 0.0033]","[0.0784, 0.0038]","[0.0933, 0.0041]","[0.0292, 0.0023]","[0.1823, 0.0053]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
DIBD-NCF,95,0.155257641,1,1,1000,Cosine,0,0.002520966,256,0.005,,"[0.7243, 0.0]","[4.1694, 0.0249]","[0.0103, 0.0007]","[0.0101, 0.0005]","[0.0097, 0.0005]","[0.0107, 0.0009]","[0.0079, 0.0003]","[0.0597, 0.0021]","[-0.681, 0.0]","[0.0099, 0.0005]","[0.0093, 0.0004]","[0.0084, 0.0003]","[0.0102, 0.0007]","[0.0057, 0.0002]","[0.0115, 0.0014]","[0.0603, 0.0033]","[0.0856, 0.0039]","[0.104, 0.0043]","[0.0318, 0.0025]","[0.1712, 0.0052]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
IPS-NCF,185,1,0.0001,1,500,Cosine,0,1,128,0.0001,,"[0.7221, 0.0]","[4.537, 0.0182]","[0.0033, 0.0004]","[0.0034, 0.0003]","[0.0035, 0.0003]","[0.003, 0.0005]","[0.0037, 0.0002]","[0.0322, 0.0012]","[-0.6723, 0.0]","[0.0039, 0.0003]","[0.0037, 0.0002]","[0.0036, 0.0002]","[0.0032, 0.0004]","[0.004, 0.0001]","[0.0022, 0.0005]","[0.0219, 0.002]","[0.0306, 0.0023]","[0.0406, 0.0027]","[0.0085, 0.0012]","[0.1156, 0.0044]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
NCF,185,1,0.001,1,500,Cosine,0,1,2048,0.0001,,"[0.7251, 0.0]","[4.5174, 0.0185]","[0.0039, 0.0004]","[0.0039, 0.0003]","[0.0039, 0.0003]","[0.004, 0.0005]","[0.0039, 0.0002]","[0.035, 0.0013]","[-0.6725, 0.0]","[0.0036, 0.0003]","[0.0042, 0.0003]","[0.0037, 0.0002]","[0.0037, 0.0004]","[0.0042, 0.0001]","[0.0037, 0.0006]","[0.0203, 0.0019]","[0.0368, 0.0026]","[0.0423, 0.0028]","[0.0097, 0.0013]","[0.1237, 0.0045]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
Rel-NCF,190,1,1.00E-05,0.040594935,1000,Cosine,0,1,8192,0.001,,"[0.6867, 0.0]","[4.3028, 0.022]","[0.0068, 0.0005]","[0.0065, 0.0005]","[0.0063, 0.0004]","[0.0073, 0.0007]","[0.006, 0.0002]","[0.0507, 0.0018]","[-0.6492, 0.0]","[0.0064, 0.0004]","[0.0057, 0.0003]","[0.0058, 0.0003]","[0.0071, 0.0006]","[0.0054, 0.0002]","[0.0057, 0.0009]","[0.0408, 0.0028]","[0.0521, 0.0031]","[0.0695, 0.0035]","[0.0233, 0.0022]","[0.1645, 0.0051]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
SNIPS-NCF,110,1,0.0001,1,500,Cosine,0,1,128,0.001,,"[0.723, 0.0]","[4.5433, 0.0179]","[0.0025, 0.0003]","[0.0028, 0.0002]","[0.003, 0.0002]","[0.0018, 0.0003]","[0.0034, 0.0002]","[0.031, 0.0012]","[-0.6719, 0.0]","[0.0031, 0.0003]","[0.0036, 0.0002]","[0.0038, 0.0002]","[0.003, 0.0004]","[0.0039, 0.0001]","[0.0008, 0.0002]","[0.0175, 0.0018]","[0.0308, 0.0024]","[0.042, 0.0027]","[0.0087, 0.0013]","[0.1155, 0.0044]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
