,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
0,0,0.5051260334678335,2021-04-22 08:21:40.561316,2021-04-22 08:26:07.987794,0 days 00:04:27.426478,128,0.3748321662847928,1.0,0.005,110.0,COMPLETE
1,1,0.7632662385405455,2021-04-22 08:26:07.988619,2021-04-22 08:27:44.954649,0 days 00:01:36.966030,512,0.007809150983452718,0.01,0.01,170.0,COMPLETE
2,2,0.5128097932591682,2021-04-22 08:27:44.955575,2021-04-22 08:29:09.988387,0 days 00:01:25.032812,512,0.2372330072992193,0.1,0.0005,15.0,COMPLETE
3,3,0.7383257943617881,2021-04-22 08:29:09.989294,2021-04-22 08:30:54.070419,0 days 00:01:44.081125,256,0.3222821784787406,1e-05,0.05,110.0,COMPLETE
4,4,0.5506874555121083,2021-04-22 08:30:54.071543,2021-04-22 08:32:23.427363,0 days 00:01:29.355820,1024,0.31467304061660045,0.1,0.0001,70.0,COMPLETE
5,5,0.8097197688570477,2021-04-22 08:32:23.428246,2021-04-22 08:34:33.542931,0 days 00:02:10.114685,512,0.24973286104060582,1e-05,0.005,160.0,COMPLETE
6,6,0.5836950450672224,2021-04-22 08:34:33.543939,2021-04-22 08:37:21.641310,0 days 00:02:48.097371,1024,0.05572619319129037,0.01,0.0001,95.0,COMPLETE
7,7,0.8035491369320824,2021-04-22 08:37:21.642601,2021-04-22 08:39:11.044821,0 days 00:01:49.402220,512,0.026351252231361925,1e-05,0.01,110.0,COMPLETE
8,8,0.8131016432096773,2021-04-22 08:39:11.046031,2021-04-22 08:40:39.241875,0 days 00:01:28.195844,2048,0.0025448050634013235,0.001,0.001,40.0,COMPLETE
9,9,0.0,2021-04-22 08:40:39.242837,2021-04-22 08:40:49.533481,0 days 00:00:10.290644,128,0.014436667144263006,1.0,0.01,65.0,COMPLETE
10,10,0.5611614197927747,2021-04-22 08:40:49.534580,2021-04-22 08:42:47.901859,0 days 00:01:58.367279,2048,0.0012641584401961584,0.001,0.001,5.0,COMPLETE
11,11,0.815732677858318,2021-04-22 08:42:47.902949,2021-04-22 08:44:46.126553,0 days 00:01:58.223604,2048,0.0015422059634974368,0.0001,0.005,195.0,COMPLETE
12,12,0.8189203128957876,2021-04-22 08:44:46.127883,2021-04-22 08:48:38.547577,0 days 00:03:52.419694,2048,0.0011973908792869401,0.0001,0.001,200.0,COMPLETE
13,13,0.8145350765796135,2021-04-22 08:48:38.548458,2021-04-22 08:50:45.524202,0 days 00:02:06.975744,2048,0.0010901167533377942,0.0001,0.005,200.0,COMPLETE
14,14,0.8187796082278841,2021-04-22 08:50:45.525106,2021-04-22 08:55:32.586169,0 days 00:04:47.061063,2048,0.0035902287025277877,0.0001,0.001,200.0,COMPLETE
15,15,0.8196648125657828,2021-04-22 08:55:32.587551,2021-04-22 09:00:03.429831,0 days 00:04:30.842280,2048,0.0038221790669404525,0.0001,0.001,150.0,COMPLETE
