,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.50502689722576,2021-04-22 08:21:32.053186,2021-04-22 08:26:55.294576,0 days 00:05:23.241390,0.17158926557893375,128,0.42377861765327857,1.0,0.005,110.0,COMPLETE
1,1,0.8336862917961134,2021-04-22 08:26:55.295453,2021-04-22 08:42:50.145072,0 days 00:15:54.849619,0.19273258843744537,2048,0.19233731789406308,0.001,0.0001,125.0,COMPLETE
2,2,0.7873504308188306,2021-04-22 08:42:50.146582,2021-04-22 08:46:05.902967,0 days 00:03:15.756385,0.167215916628712,256,0.16936068404821691,1e-05,0.05,160.0,COMPLETE
3,3,0.8227548364552667,2021-04-22 08:46:05.904260,2021-04-22 08:51:03.979941,0 days 00:04:58.075681,0.15563157203321915,1024,0.43513606197516275,1e-05,0.05,130.0,COMPLETE
4,4,0.8293442297401323,2021-04-22 08:51:03.980967,2021-04-22 08:54:25.657434,0 days 00:03:21.676467,0.10409597543276142,256,0.3397608855293612,1e-05,0.005,200.0,COMPLETE
5,5,0.8338507007835528,2021-04-22 08:54:25.658754,2021-04-22 09:02:13.846128,0 days 00:07:48.187374,0.18893383874099973,256,0.2614023125532858,0.0001,0.0005,145.0,COMPLETE
6,6,0.5332455580596603,2021-04-22 09:02:13.847154,2021-04-22 09:03:56.373239,0 days 00:01:42.526085,0.0912306102929775,1024,0.2846485404854556,0.01,0.001,85.0,COMPLETE
7,7,0.48607851824134535,2021-04-22 09:03:56.374218,2021-04-22 09:06:52.729939,0 days 00:02:56.355721,0.07729840973619127,128,0.4513966392891729,1.0,0.01,5.0,COMPLETE
8,8,0.8331078697459124,2021-04-22 09:06:52.731117,2021-04-22 09:09:31.895529,0 days 00:02:39.164412,0.019856970791444415,256,0.48493472480562766,1e-05,0.0005,90.0,COMPLETE
9,9,0.5003058249387199,2021-04-22 09:09:31.896914,2021-04-22 09:11:52.275705,0 days 00:02:20.378791,0.15013747755755003,512,0.30430750368901843,0.01,0.005,135.0,COMPLETE
10,10,0.8334296722879875,2021-04-22 09:11:52.276769,2021-04-22 09:15:34.061573,0 days 00:03:41.784804,0.0128719016720312,2048,0.020014933287864356,0.0001,0.0005,35.0,COMPLETE
11,11,0.8331776601019166,2021-04-22 09:15:34.063053,2021-04-22 09:21:33.990824,0 days 00:05:59.927771,0.19760575477233885,2048,0.15130130695256666,0.001,0.0001,180.0,COMPLETE
12,12,0.5634281017742909,2021-04-22 09:21:33.991700,2021-04-22 09:23:25.631669,0 days 00:01:51.639969,0.19824475445179002,2048,0.1689829978244461,0.1,0.0001,155.0,COMPLETE
13,13,0.833749481955015,2021-04-22 09:23:25.632704,2021-04-22 09:28:08.209710,0 days 00:04:42.577006,0.12217536489792524,256,0.06845689650344036,0.0001,0.0005,60.0,COMPLETE
14,14,0.8337636191927313,2021-04-22 09:28:08.210976,2021-04-22 09:32:50.252218,0 days 00:04:42.041242,0.12109596639135384,256,0.015186237124460045,0.0001,0.0005,55.0,COMPLETE
15,15,0.8336742730294282,2021-04-22 09:32:50.253185,2021-04-22 09:37:35.203357,0 days 00:04:44.950172,0.05122679174990705,256,0.35772192497993094,0.0001,0.0005,50.0,COMPLETE
16,16,0.8339610906820842,2021-04-22 09:37:35.204279,2021-04-22 09:42:17.901432,0 days 00:04:42.697153,0.1312159314218423,256,0.23246999444160266,0.0001,0.0005,25.0,COMPLETE
17,17,0.8339924512302593,2021-04-22 09:42:17.902314,2021-04-22 09:46:23.027250,0 days 00:04:05.124936,0.13844630108747752,512,0.25312252296721727,0.0001,0.0005,20.0,COMPLETE
18,18,0.515757384895177,2021-04-22 09:46:23.028171,2021-04-22 09:48:13.388132,0 days 00:01:50.359961,0.13373638667028745,512,0.2238138609754846,0.1,0.001,10.0,COMPLETE
19,19,0.834145991038742,2021-04-22 09:48:13.389281,2021-04-22 09:53:02.575018,0 days 00:04:49.185737,0.06728598978231877,512,0.10078203074215328,0.0001,0.01,25.0,COMPLETE
20,20,0.8346228892415875,2021-04-22 09:53:02.576255,2021-04-22 09:57:09.731879,0 days 00:04:07.155624,0.05816458227382357,512,0.11252084286140543,0.0001,0.01,25.0,COMPLETE
21,21,0.8346175424411385,2021-04-22 09:57:09.733133,2021-04-22 10:01:16.578596,0 days 00:04:06.845463,0.05406955367753634,512,0.09709612336988298,0.0001,0.01,25.0,COMPLETE
22,22,0.8345077151613505,2021-04-22 10:01:16.579929,2021-04-22 10:07:01.688287,0 days 00:05:45.108358,0.04799405553927521,512,0.10151317078167489,0.0001,0.01,40.0,COMPLETE
23,23,0.8334795121064583,2021-04-22 10:07:01.689128,2021-04-22 10:10:42.878121,0 days 00:03:41.188993,0.035316039801291554,512,0.08109199559129263,0.0001,0.01,70.0,COMPLETE
24,24,0.8345998334074367,2021-04-22 10:10:42.879343,2021-04-22 10:16:10.193005,0 days 00:05:27.313662,0.05168898122841949,512,0.11456048784623574,0.0001,0.01,40.0,COMPLETE
25,25,0.8339410312092589,2021-04-22 10:16:10.194084,2021-04-22 10:19:08.370146,0 days 00:02:58.176062,0.0011358625198043676,512,0.1299146169079809,0.0001,0.01,10.0,COMPLETE
26,26,0.8338031627037221,2021-04-22 10:19:08.371891,2021-04-22 10:23:43.412213,0 days 00:04:35.040322,0.062369961602850556,512,0.05808433252539865,0.0001,0.01,75.0,COMPLETE
27,27,0.5100716739369141,2021-04-22 10:23:43.413266,2021-04-22 10:26:14.711606,0 days 00:02:31.298340,0.03251545865124862,512,0.0010497565547720883,0.1,0.01,40.0,COMPLETE
28,28,0.5042313773913655,2021-04-22 10:26:14.712483,2021-04-22 10:29:50.297059,0 days 00:03:35.584576,0.08788864330780653,512,0.03834033190116369,0.01,0.01,5.0,COMPLETE
29,29,0.509148169231945,2021-04-22 10:29:50.298671,2021-04-22 10:39:05.284339,0 days 00:09:14.985668,0.04891698213535798,128,0.125412104364543,1.0,0.01,105.0,COMPLETE
30,30,0.8237399972539079,2021-04-22 10:39:05.285629,2021-04-22 10:41:22.454755,0 days 00:02:17.169126,0.03343918628277605,512,0.19775479906987692,0.001,0.01,20.0,COMPLETE
31,31,0.8342553569455287,2021-04-22 10:41:22.455680,2021-04-22 10:46:22.229399,0 days 00:04:59.773719,0.0506121826146509,512,0.10244658224413773,0.0001,0.01,45.0,COMPLETE
32,32,0.8343106166151737,2021-04-22 10:46:22.230589,2021-04-22 10:53:10.856893,0 days 00:06:48.626304,0.06745838255562085,512,0.12191122396594621,0.0001,0.01,35.0,COMPLETE
33,33,0.8340301287437779,2021-04-22 10:53:10.857843,2021-04-22 10:56:49.599030,0 days 00:03:38.741187,0.021289437179631096,512,0.04396060716755304,0.0001,0.01,65.0,COMPLETE
