,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.5021473824576922,2021-05-09 01:02:01.074820,2021-05-09 01:25:53.511005,0 days 00:23:52.436185,0.18579456176227568,128,0.004389006955136502,1.0,0.005,110.0,COMPLETE
1,1,0.7945607001595715,2021-05-09 01:25:53.512159,2021-05-09 01:38:37.959570,0 days 00:12:44.447411,0.19636627605010293,2048,0.0025337660753031108,0.001,0.0001,125.0,COMPLETE
2,2,0.6112498785820052,2021-05-09 01:38:37.960634,2021-05-09 02:10:15.804452,0 days 00:31:37.843818,0.18360787635373776,256,0.002349584641669074,1e-05,0.05,160.0,COMPLETE
3,3,0.6571871748025216,2021-05-09 02:10:15.805660,2021-05-09 02:15:44.803422,0 days 00:05:28.997762,0.17781567509498505,1024,0.004480048592987277,1e-05,0.05,130.0,COMPLETE
4,4,0.6448018523941454,2021-05-09 02:15:44.804369,2021-05-09 02:35:52.897357,0 days 00:20:08.092988,0.1520477479551205,256,0.0037155181204758412,1e-05,0.005,200.0,COMPLETE
5,5,0.6862319073346476,2021-05-09 02:35:52.898422,2021-05-09 02:47:40.337441,0 days 00:11:47.439019,0.1944668917049584,256,0.0030873932870002867,0.0001,0.0005,145.0,COMPLETE
6,6,0.6971242536240798,2021-05-09 02:47:40.338425,2021-05-09 02:53:10.004380,0 days 00:05:29.665955,0.14561503322165487,1024,0.003273735795474594,0.01,0.001,85.0,COMPLETE
7,7,0.4852254075220573,2021-05-09 02:53:10.005391,2021-05-09 03:15:00.204449,0 days 00:21:50.199058,0.1386488981125862,128,0.004610393902117619,1.0,0.01,5.0,COMPLETE
8,8,0.6827733527891936,2021-05-09 03:15:00.205402,2021-05-09 03:26:53.361685,0 days 00:11:53.156283,0.10992803503589739,256,0.004879236270986995,1e-05,0.0005,90.0,COMPLETE
9,9,0.6635251121121014,2021-05-09 03:26:53.362692,2021-05-09 03:41:42.204185,0 days 00:14:48.841493,0.17506861412184563,512,0.003431322674861871,0.01,0.005,135.0,COMPLETE
10,10,0.7893570624713193,2021-05-09 03:41:42.205177,2021-05-09 04:06:08.490524,0 days 00:24:26.285347,0.10524524963470956,2048,0.0011790680389494421,0.001,0.0001,35.0,COMPLETE
11,11,0.7889378602438842,2021-05-09 04:06:08.491617,2021-05-09 04:31:21.617338,0 days 00:25:13.125721,0.10390899488450199,2048,0.0010074392105098302,0.001,0.0001,30.0,COMPLETE
12,12,0.7896716868184482,2021-05-09 04:31:21.618320,2021-05-09 04:49:18.932471,0 days 00:17:57.314151,0.12139841317567919,2048,0.0016593585796460184,0.001,0.0001,50.0,COMPLETE
13,13,0.509728629012902,2021-05-09 04:49:18.933610,2021-05-09 04:54:20.983224,0 days 00:05:02.049614,0.12652557894921795,2048,0.002077593903868623,0.1,0.0001,60.0,COMPLETE
14,14,0.7986890849995273,2021-05-09 04:54:20.984266,2021-05-09 05:05:08.717500,0 days 00:10:47.733234,0.12178190029646503,2048,0.0017366170873946176,0.001,0.0001,180.0,COMPLETE
15,15,0.7997185542669898,2021-05-09 05:05:08.718671,2021-05-09 05:16:25.464855,0 days 00:11:16.746184,0.16206743925337838,2048,0.0024538454769609352,0.001,0.0001,195.0,COMPLETE
16,16,0.7992028174285722,2021-05-09 05:16:25.466053,2021-05-09 05:27:38.478768,0 days 00:11:13.012715,0.16200530982663147,2048,0.0016605948757044543,0.001,0.0001,200.0,COMPLETE
17,17,0.7812428121931164,2021-05-09 05:27:38.479943,2021-05-09 05:34:26.047829,0 days 00:06:47.567886,0.1646173846711604,512,0.002679544401395956,0.001,0.001,200.0,COMPLETE
18,18,0.5108633707833558,2021-05-09 05:34:26.049189,2021-05-09 05:39:28.334804,0 days 00:05:02.285615,0.1626684352431944,2048,0.0014964122010128452,0.1,0.01,175.0,COMPLETE
19,19,0.7831549866947203,2021-05-09 05:39:28.335715,2021-05-09 05:47:44.738275,0 days 00:08:16.402560,0.1640723182907994,2048,0.0022034577622963413,0.0001,0.0001,200.0,COMPLETE
20,20,0.8089221395227636,2021-05-09 05:47:44.742967,2021-05-09 05:59:36.092401,0 days 00:11:51.349434,0.1571317035500524,1024,0.001871318018514413,0.001,0.0001,175.0,COMPLETE
21,21,0.8105420931812289,2021-05-09 05:59:36.093329,2021-05-09 06:11:24.896209,0 days 00:11:48.802880,0.1561785546124663,1024,0.0018629779646657171,0.001,0.0001,180.0,COMPLETE
22,22,0.8089149305696175,2021-05-09 06:11:24.897092,2021-05-09 06:23:19.120907,0 days 00:11:54.223815,0.1522272907586737,1024,0.0028083914037612704,0.001,0.0001,175.0,COMPLETE
23,23,0.8086145229188884,2021-05-09 06:23:19.121986,2021-05-09 06:35:03.604252,0 days 00:11:44.482266,0.150966406186844,1024,0.0019652321221906707,0.001,0.0001,170.0,COMPLETE
24,24,0.8074495753143545,2021-05-09 06:35:03.605147,2021-05-09 06:46:46.043663,0 days 00:11:42.438516,0.13696825243434654,1024,0.0028807711767533995,0.001,0.0001,155.0,COMPLETE
25,25,0.80973256042351,2021-05-09 06:46:46.044564,2021-05-09 06:58:43.499762,0 days 00:11:57.455198,0.14352161071340286,1024,0.003759130400505268,0.001,0.0001,185.0,COMPLETE
26,26,0.7404407512686271,2021-05-09 06:58:43.500724,2021-05-09 07:02:53.606138,0 days 00:04:10.105414,0.13994235063966123,1024,0.003913228557881122,0.001,0.001,185.0,COMPLETE
27,27,0.6207190224478061,2021-05-09 07:02:53.607089,2021-05-09 07:07:37.199276,0 days 00:04:43.592187,0.17160866595580948,1024,0.0040521069036315175,0.0001,0.05,155.0,COMPLETE
28,28,0.5115475087672661,2021-05-09 07:07:37.200410,2021-05-09 07:12:09.773732,0 days 00:04:32.573322,0.13137816374528222,1024,0.0013689913524477422,0.1,0.01,115.0,COMPLETE
29,29,0.4966022044340488,2021-05-09 07:12:09.774678,2021-05-09 07:34:26.618616,0 days 00:22:16.843938,0.1452666188079162,128,0.0036431126861500604,1.0,0.0005,165.0,COMPLETE
30,30,0.5026355215010789,2021-05-09 07:34:26.619792,2021-05-09 07:38:31.001464,0 days 00:04:04.381672,0.15616885362376914,1024,0.00191684543951236,0.01,0.005,145.0,COMPLETE
31,31,0.8105484178361225,2021-05-09 07:38:31.002402,2021-05-09 07:50:18.081328,0 days 00:11:47.078926,0.1546560055001679,1024,0.0028898592288034105,0.001,0.0001,180.0,COMPLETE
32,32,0.8097130802301197,2021-05-09 07:50:18.082294,2021-05-09 08:02:02.769431,0 days 00:11:44.687137,0.14484172265355805,1024,0.003164936052089581,0.001,0.0001,185.0,COMPLETE
33,33,0.8088326305973182,2021-05-09 08:02:02.770355,2021-05-09 08:13:56.921051,0 days 00:11:54.150696,0.1453018320632258,1024,0.003249521911694647,0.001,0.0001,190.0,COMPLETE
34,34,0.809781894013271,2021-05-09 08:13:56.922280,2021-05-09 08:25:48.630509,0 days 00:11:51.708229,0.13320030625713353,1024,0.004219642463272245,0.001,0.0001,185.0,COMPLETE
35,35,0.5026800209270591,2021-05-09 08:25:48.631470,2021-05-09 08:31:32.830809,0 days 00:05:44.199339,0.13217501224435754,1024,0.004176342064783633,1.0,0.05,160.0,COMPLETE
36,36,0.8075173369107445,2021-05-09 08:31:32.832379,2021-05-09 08:44:18.662284,0 days 00:12:45.829905,0.169841461922062,1024,0.00432844348985784,0.001,0.0001,150.0,COMPLETE
37,37,0.8065512872070925,2021-05-09 08:44:18.663317,2021-05-09 08:56:56.029693,0 days 00:12:37.366376,0.18733934223631316,1024,0.004766866852997944,0.001,0.0001,135.0,COMPLETE
38,38,0.7557439772419667,2021-05-09 08:56:56.030606,2021-05-09 09:18:58.720603,0 days 00:22:02.689997,0.11423224973662452,128,0.0037008811489367115,1e-05,0.0001,120.0,COMPLETE
39,39,0.7771473065874652,2021-05-09 09:18:58.722007,2021-05-09 09:25:42.301834,0 days 00:06:43.579827,0.13436580810879103,512,0.003896369827649724,0.001,0.0005,190.0,COMPLETE
40,40,0.5218384643205801,2021-05-09 09:25:42.302772,2021-05-09 09:39:10.296399,0 days 00:13:27.993627,0.15597436804440676,256,0.0034064347959620956,0.01,0.005,100.0,COMPLETE
41,41,0.8097456403480984,2021-05-09 09:39:10.297497,2021-05-09 09:50:54.212854,0 days 00:11:43.915357,0.14144741359019983,1024,0.004437700160110165,0.001,0.0001,185.0,COMPLETE
42,42,0.8087011162232834,2021-05-09 09:50:54.214147,2021-05-09 10:02:15.619814,0 days 00:11:21.405667,0.14073922906930855,1024,0.004575090428104758,0.001,0.0001,170.0,COMPLETE
43,43,0.8099637557160783,2021-05-09 10:02:15.620752,2021-05-09 10:13:57.970842,0 days 00:11:42.350090,0.12832057359346244,1024,0.0043302696627617225,0.001,0.0001,185.0,COMPLETE
44,44,0.8079614071429522,2021-05-09 10:13:57.971872,2021-05-09 10:25:39.143170,0 days 00:11:41.171298,0.12821442735873995,1024,0.004990338664280716,0.001,0.0001,165.0,COMPLETE
45,45,0.6420672523226183,2021-05-09 10:25:39.144112,2021-05-09 10:33:27.839241,0 days 00:07:48.695129,0.12269508625216102,1024,0.0043055852253167486,1e-05,0.05,200.0,COMPLETE
46,46,0.7781495381871564,2021-05-09 10:33:27.840215,2021-05-09 10:41:12.043213,0 days 00:07:44.202998,0.14935075010225282,1024,0.004769674790644822,0.0001,0.0001,140.0,COMPLETE
47,47,0.6681875221036115,2021-05-09 10:41:12.044131,2021-05-09 10:56:30.548327,0 days 00:15:18.504196,0.12630517345598566,256,0.004456796923254332,0.001,0.001,190.0,COMPLETE
48,48,0.5074225983223288,2021-05-09 10:56:30.549721,2021-05-09 11:03:06.565019,0 days 00:06:36.015298,0.1136437894527226,1024,0.004214477337388046,1.0,0.0001,160.0,COMPLETE
49,49,0.7856726248307709,2021-05-09 11:03:06.565947,2021-05-09 11:09:21.795047,0 days 00:06:15.229100,0.1169763932480754,1024,0.002296467102704104,0.001,0.01,180.0,COMPLETE
50,50,0.7088887563666142,2021-05-09 11:09:21.796024,2021-05-09 11:17:51.201614,0 days 00:08:29.405590,0.14788447062079305,512,0.004700755303196581,0.001,0.0001,195.0,COMPLETE
51,51,0.8103870641632254,2021-05-09 11:17:51.202588,2021-05-09 11:29:22.501665,0 days 00:11:31.299077,0.13916495068487986,1024,0.004078211256436445,0.001,0.0001,180.0,COMPLETE
52,52,0.8105575837797493,2021-05-09 11:29:22.502769,2021-05-09 11:41:01.006142,0 days 00:11:38.503373,0.13649440585633787,1024,0.004091099923468004,0.001,0.0001,180.0,COMPLETE
53,53,0.8087367918906129,2021-05-09 11:41:01.007080,2021-05-09 11:52:31.060430,0 days 00:11:30.053350,0.13509389420624898,1024,0.004059231061764494,0.001,0.0001,170.0,COMPLETE
54,54,0.810501664090394,2021-05-09 11:52:31.061901,2021-05-09 12:04:12.925724,0 days 00:11:41.863823,0.12865697905993892,1024,0.0033949956291867514,0.001,0.0001,180.0,COMPLETE
55,55,0.5215811681320522,2021-05-09 12:04:12.926671,2021-05-09 12:41:56.587566,0 days 00:37:43.660895,0.12998356832253666,128,0.0035205671249608638,0.1,0.0001,150.0,COMPLETE
56,56,0.8088050135784125,2021-05-09 12:41:56.588531,2021-05-09 12:53:41.074950,0 days 00:11:44.486419,0.12404393626195546,1024,0.0030171668298612053,0.001,0.0001,175.0,COMPLETE
57,57,0.8103704432008517,2021-05-09 12:53:41.076214,2021-05-09 13:05:21.420993,0 days 00:11:40.344779,0.11889026333695796,1024,0.003906855882814417,0.001,0.0001,195.0,COMPLETE
58,58,0.7974686290965642,2021-05-09 13:05:21.422276,2021-05-09 13:36:40.456449,0 days 00:31:19.034173,0.10751539345671696,1024,0.003856585249528226,0.001,0.0005,5.0,COMPLETE
59,59,0.5111040972731768,2021-05-09 13:36:40.457383,2021-05-09 13:42:17.678701,0 days 00:05:37.221318,0.11883290399900415,1024,0.0025667430741353366,0.01,0.005,195.0,COMPLETE
60,60,0.7252322989993147,2021-05-09 13:42:17.679710,2021-05-09 13:54:15.341001,0 days 00:11:57.661291,0.13742167095371174,256,0.0035134194658916723,0.001,0.0001,165.0,COMPLETE
61,61,0.8105869527344686,2021-05-09 13:54:15.342075,2021-05-09 14:05:55.545665,0 days 00:11:40.203590,0.15391350073303403,1024,0.004028640003847981,0.001,0.0001,180.0,COMPLETE
62,62,0.8089645602070543,2021-05-09 14:05:55.546676,2021-05-09 14:17:31.641011,0 days 00:11:36.094335,0.10027469179329178,1024,0.004039745219555727,0.001,0.0001,175.0,COMPLETE
63,63,0.8094842007737,2021-05-09 14:17:31.641970,2021-05-09 14:29:09.300892,0 days 00:11:37.658922,0.15971096354202605,1024,0.0033227220142174013,0.001,0.0001,200.0,COMPLETE
64,64,0.8104577772652323,2021-05-09 14:29:09.301894,2021-05-09 14:40:47.225112,0 days 00:11:37.923218,0.15303520628386996,1024,0.0038208186770003934,0.001,0.0001,180.0,COMPLETE
65,65,0.8104501146286348,2021-05-09 14:40:47.226322,2021-05-09 14:52:28.550347,0 days 00:11:41.324025,0.15334862043656053,1024,0.0036216971409378943,0.001,0.0001,180.0,COMPLETE
66,66,0.6975140023117453,2021-05-09 14:52:28.551288,2021-05-09 14:56:36.267822,0 days 00:04:07.716534,0.1535230125376771,1024,0.0036624580876862575,1e-05,0.001,155.0,COMPLETE
67,67,0.7760685626834586,2021-05-09 14:56:36.269497,2021-05-09 15:15:45.077547,0 days 00:19:08.808050,0.1678224563926219,512,0.003570168384927177,0.0001,0.0001,65.0,COMPLETE
68,68,0.8086922271034575,2021-05-09 15:15:45.078591,2021-05-09 15:27:12.611395,0 days 00:11:27.532804,0.15898794726078827,1024,0.00378035806818828,0.001,0.0001,170.0,COMPLETE
69,69,0.8104062034532313,2021-05-09 15:27:12.612902,2021-05-09 15:38:45.537337,0 days 00:11:32.924435,0.15337831715211342,1024,0.0028822659077118225,0.001,0.0001,180.0,COMPLETE
70,70,0.5099228580753286,2021-05-09 15:38:45.538279,2021-05-09 15:45:48.657310,0 days 00:07:03.119031,0.14822976439709562,1024,0.003136946668817683,0.1,0.01,165.0,COMPLETE
71,71,0.8105058933429063,2021-05-09 15:45:48.658277,2021-05-09 15:57:20.237106,0 days 00:11:31.578829,0.15339684491843703,1024,0.0028829863975995238,0.001,0.0001,180.0,COMPLETE
72,72,0.8087168246923877,2021-05-09 15:57:20.238069,2021-05-09 16:08:56.208128,0 days 00:11:35.970059,0.16694951499028657,1024,0.0027469181029562153,0.001,0.0001,190.0,COMPLETE
73,73,0.810586079970541,2021-05-09 16:08:56.209764,2021-05-09 16:20:32.343690,0 days 00:11:36.133926,0.16021303647914428,1024,0.003379631511225544,0.001,0.0001,180.0,COMPLETE
74,74,0.809000301235559,2021-05-09 16:20:32.344643,2021-05-09 16:32:11.430133,0 days 00:11:39.085490,0.160758577242845,1024,0.003379561587060294,0.001,0.0001,175.0,COMPLETE
75,75,0.806861181199366,2021-05-09 16:32:11.431667,2021-05-09 16:43:34.292037,0 days 00:11:22.860370,0.178625752870073,1024,0.0025816159049404665,0.001,0.0001,160.0,COMPLETE
76,76,0.5054818532976164,2021-05-09 16:43:34.293018,2021-05-09 17:12:04.566328,0 days 00:28:30.273310,0.15714952486213593,128,0.0032279414001892427,0.001,0.05,190.0,COMPLETE
77,77,0.5034685189206914,2021-05-09 17:12:04.567736,2021-05-09 17:19:51.050992,0 days 00:07:46.483256,0.164230297317764,1024,0.003023735834191876,1.0,0.0001,170.0,COMPLETE
78,78,0.8104437502443995,2021-05-09 17:19:51.052426,2021-05-09 17:31:19.540218,0 days 00:11:28.487792,0.1500384257450849,1024,0.002929173167119428,0.001,0.0001,180.0,COMPLETE
79,79,0.7896303913716441,2021-05-09 17:31:19.541150,2021-05-09 17:38:58.214234,0 days 00:07:38.673084,0.14309118942524726,2048,0.0011344779639454832,0.001,0.0005,195.0,COMPLETE
80,80,0.8074603073630026,2021-05-09 17:38:58.215343,2021-05-09 17:51:31.168781,0 days 00:12:32.953438,0.1548131106766177,1024,0.002068252769272797,0.001,0.0001,150.0,COMPLETE
81,81,0.8105397824714472,2021-05-09 17:51:31.169753,2021-05-09 18:03:35.032334,0 days 00:12:03.862581,0.15203550504482502,1024,0.003805814148745246,0.001,0.0001,180.0,COMPLETE
82,82,0.8097671159797195,2021-05-09 18:03:35.033924,2021-05-09 18:15:41.707111,0 days 00:12:06.673187,0.14731437609729656,1024,0.0037912639479577293,0.001,0.0001,185.0,COMPLETE
83,83,0.7923830362538907,2021-05-09 18:15:41.708050,2021-05-09 18:51:51.162229,0 days 00:36:09.454179,0.1518526605487845,1024,0.003991812142033964,0.001,0.0001,15.0,COMPLETE
84,84,0.8069640981368671,2021-05-09 18:51:51.163657,2021-05-09 19:03:44.181292,0 days 00:11:53.017635,0.158308157585439,1024,0.003468802196238657,0.001,0.0001,160.0,COMPLETE
85,85,0.5932833269762969,2021-05-09 19:03:44.182368,2021-05-09 19:16:49.851978,0 days 00:13:05.669610,0.16231011712144208,1024,0.0024040994816834993,0.01,0.005,170.0,COMPLETE
86,86,0.8089958502676876,2021-05-09 19:16:49.853097,2021-05-09 19:28:40.363480,0 days 00:11:50.510383,0.15099698360453026,1024,0.0030801261914820835,0.001,0.0001,175.0,COMPLETE
87,87,0.8095888606758729,2021-05-09 19:28:40.364483,2021-05-09 19:40:53.423843,0 days 00:12:13.059360,0.15579768438120237,1024,0.004161763600587697,0.001,0.0001,200.0,COMPLETE
88,88,0.7358191420295364,2021-05-09 19:40:53.425419,2021-05-09 19:52:59.457387,0 days 00:12:06.031968,0.16601788960394118,256,0.0033665361261275913,0.001,0.0001,190.0,COMPLETE
