,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.5029596719190941,2021-05-09 01:02:08.927940,2021-05-09 01:25:56.538274,0 days 00:23:47.610334,0.7721524764043048,128,1.0,0.005,110.0,COMPLETE
1,1,0.49679311032927415,2021-05-09 01:25:56.539088,2021-05-09 01:36:20.150374,0 days 00:10:23.611286,0.26778817054395965,512,0.01,0.01,170.0,COMPLETE
2,2,0.6896232526497216,2021-05-09 01:36:20.151331,2021-05-09 01:52:33.839158,0 days 00:16:13.687827,0.7125546170240173,512,0.1,0.0005,15.0,COMPLETE
3,3,0.3407261222606055,2021-05-09 01:52:33.840095,2021-05-09 02:04:10.074618,0 days 00:11:36.234523,0.7524725263960044,256,1e-05,0.05,110.0,COMPLETE
4,4,0.6652205271697127,2021-05-09 02:04:10.075662,2021-05-09 02:24:51.571726,0 days 00:20:41.496064,0.7493595347946888,1024,0.1,0.0001,70.0,COMPLETE
5,5,0.7100775774607847,2021-05-09 02:24:51.572719,2021-05-09 02:36:40.246964,0 days 00:11:48.674245,0.7192447162094091,512,1e-05,0.005,160.0,COMPLETE
6,6,0.7074093407691351,2021-05-09 02:36:40.248072,2021-05-09 02:46:21.169415,0 days 00:09:40.921343,0.5238219926696757,1024,0.01,0.0001,95.0,COMPLETE
7,7,0.6846743095189063,2021-05-09 02:46:21.170404,2021-05-09 02:53:43.748293,0 days 00:07:22.577889,0.42624564140779825,512,1e-05,0.01,110.0,COMPLETE
8,8,0.7921550180270734,2021-05-09 02:53:43.749342,2021-05-09 02:58:00.188108,0 days 00:04:16.438766,0.1217050038831728,2048,0.001,0.001,40.0,COMPLETE
9,9,0.48644676310237295,2021-05-09 02:58:00.188970,2021-05-09 03:19:58.642847,0 days 00:21:58.453877,0.3478462181234645,128,1.0,0.01,65.0,COMPLETE
10,10,0.7887568648970462,2021-05-09 03:19:58.643990,2021-05-09 03:34:36.312632,0 days 00:14:37.668642,0.030550113238904303,2048,0.001,0.001,5.0,COMPLETE
11,11,0.7888172278647229,2021-05-09 03:34:36.313556,2021-05-09 03:48:47.192635,0 days 00:14:10.879079,0.021983171685461076,2048,0.001,0.001,5.0,COMPLETE
12,12,0.7982726151255335,2021-05-09 03:48:47.193788,2021-05-09 03:56:36.539740,0 days 00:07:49.345952,0.011674183014075981,2048,0.001,0.001,25.0,COMPLETE
13,13,0.7924570738046908,2021-05-09 03:56:36.540814,2021-05-09 04:05:09.715114,0 days 00:08:33.174300,0.17219760948338747,2048,0.001,0.001,45.0,COMPLETE
14,14,0.8122482864247884,2021-05-09 04:05:09.716034,2021-05-09 04:12:16.009850,0 days 00:07:06.293816,0.22373232718765862,2048,0.0001,0.001,35.0,COMPLETE
15,15,0.8120578829134979,2021-05-09 04:12:16.011223,2021-05-09 04:19:33.125665,0 days 00:07:17.114442,0.18173941929741239,2048,0.0001,0.001,35.0,COMPLETE
16,16,0.7596535982285574,2021-05-09 04:19:33.126625,2021-05-09 04:22:15.447967,0 days 00:02:42.321342,0.1992308732301856,2048,0.0001,0.001,70.0,COMPLETE
17,17,0.757426983929025,2021-05-09 04:22:15.449295,2021-05-09 04:34:02.597272,0 days 00:11:47.147977,0.539347517759426,256,0.0001,0.0005,140.0,COMPLETE
