,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.4975675672045654,2021-05-09 01:02:16.569076,2021-05-09 01:26:14.047061,0 days 00:23:57.477985,0.18579456176227568,128,0.004389006955136502,1.0,0.005,110.0,COMPLETE
1,1,0.7876592995377678,2021-05-09 01:26:14.048287,2021-05-09 01:49:34.098650,0 days 00:23:20.050363,0.19636627605010293,2048,0.0025337660753031108,0.001,0.0001,125.0,COMPLETE
2,2,0.6924160062248855,2021-05-09 01:49:34.099657,2021-05-09 02:04:36.392239,0 days 00:15:02.292582,0.18360787635373776,256,0.002349584641669074,1e-05,0.05,160.0,COMPLETE
3,3,0.6833737400390338,2021-05-09 02:04:36.393333,2021-05-09 02:13:55.659028,0 days 00:09:19.265695,0.17781567509498505,1024,0.004480048592987277,1e-05,0.05,130.0,COMPLETE
4,4,0.6620504396853945,2021-05-09 02:13:55.659988,2021-05-09 02:42:06.640437,0 days 00:28:10.980449,0.1520477479551205,256,0.0037155181204758412,1e-05,0.005,200.0,COMPLETE
5,5,0.7517284186063078,2021-05-09 02:42:06.641519,2021-05-09 02:53:46.073326,0 days 00:11:39.431807,0.1944668917049584,256,0.0030873932870002867,0.0001,0.0005,145.0,COMPLETE
6,6,0.5201580836148546,2021-05-09 02:53:46.074316,2021-05-09 02:57:47.069135,0 days 00:04:00.994819,0.14561503322165487,1024,0.003273735795474594,0.01,0.001,85.0,COMPLETE
7,7,0.4852254075220573,2021-05-09 02:57:47.070239,2021-05-09 03:19:34.200504,0 days 00:21:47.130265,0.1386488981125862,128,0.004610393902117619,1.0,0.01,5.0,COMPLETE
8,8,0.7536798482607765,2021-05-09 03:19:34.201463,2021-05-09 03:31:11.529063,0 days 00:11:37.327600,0.10992803503589739,256,0.004879236270986995,1e-05,0.0005,90.0,COMPLETE
9,9,0.5086922916956776,2021-05-09 03:31:11.530200,2021-05-09 03:40:21.502430,0 days 00:09:09.972230,0.17506861412184563,512,0.003431322674861871,0.01,0.005,135.0,COMPLETE
10,10,0.7887901375799936,2021-05-09 03:40:21.503727,2021-05-09 04:03:09.953124,0 days 00:22:48.449397,0.10524524963470956,2048,0.0011790680389494421,0.001,0.0001,35.0,COMPLETE
11,11,0.7889362556911129,2021-05-09 04:03:09.954088,2021-05-09 04:30:58.749800,0 days 00:27:48.795712,0.10390899488450199,2048,0.0010074392105098302,0.001,0.0001,30.0,COMPLETE
12,12,0.789386013627154,2021-05-09 04:30:58.750740,2021-05-09 05:16:18.952841,0 days 00:45:20.202101,0.10101917729558434,2048,0.001078350353547821,0.001,0.0001,20.0,COMPLETE
13,13,0.4966081574273579,2021-05-09 05:16:18.953955,2021-05-09 05:19:23.254794,0 days 00:03:04.300839,0.12184495386317692,2048,0.0010753874136899086,0.1,0.0001,45.0,COMPLETE
14,14,0.7894449937574183,2021-05-09 05:19:23.255903,2021-05-09 07:10:43.308542,0 days 01:51:20.052639,0.10029934978075596,2048,0.001723939748539944,0.001,0.0001,5.0,COMPLETE
15,15,0.7893157977827152,2021-05-09 07:10:43.309542,2021-05-09 09:01:56.872384,0 days 01:51:13.562842,0.12254902258377497,2048,0.0017852229145386017,0.001,0.0001,5.0,COMPLETE
16,16,0.7900498089064798,2021-05-09 09:01:56.873853,2021-05-09 09:28:20.161379,0 days 00:26:23.287526,0.12059186405873362,2048,0.0016690876926215522,0.001,0.0001,60.0,COMPLETE
17,17,0.7746951629121396,2021-05-09 09:28:20.162299,2021-05-09 09:34:57.115224,0 days 00:06:36.952925,0.12025067318346899,512,0.0017361230518722363,0.001,0.001,65.0,COMPLETE
18,18,0.5076152125792508,2021-05-09 09:34:57.116310,2021-05-09 09:39:15.466430,0 days 00:04:18.350120,0.1331546206326211,2048,0.0016992560148942082,0.1,0.01,65.0,COMPLETE
19,19,0.7904411313887165,2021-05-09 09:39:15.467331,2021-05-09 09:54:35.162252,0 days 00:15:19.694921,0.1611625913765851,2048,0.0023509837854872465,0.0001,0.0001,55.0,COMPLETE
20,20,0.756298257949872,2021-05-09 09:54:35.163223,2021-05-09 10:25:43.803905,0 days 00:31:08.640682,0.16201629943389523,128,0.0025087457461550875,0.0001,0.0001,65.0,COMPLETE
21,21,0.790647586835679,2021-05-09 10:25:43.805231,2021-05-09 10:41:14.808379,0 days 00:15:31.003148,0.16023093928459933,2048,0.0022017624934180307,0.0001,0.0001,50.0,COMPLETE
22,22,0.7906379249160758,2021-05-09 10:41:14.809589,2021-05-09 10:56:24.855061,0 days 00:15:10.045472,0.16271580653993778,2048,0.002168490866363966,0.0001,0.0001,50.0,COMPLETE
23,23,0.7906391360202043,2021-05-09 10:56:24.855957,2021-05-09 11:11:45.423518,0 days 00:15:20.567561,0.16510764884063447,2048,0.002177398267057218,0.0001,0.0001,50.0,COMPLETE
24,24,0.7880256489247148,2021-05-09 11:11:45.424602,2021-05-09 11:21:06.087766,0 days 00:09:20.663164,0.16352595231942135,2048,0.0020668502943421685,0.0001,0.0001,85.0,COMPLETE
25,25,0.7847789325112391,2021-05-09 11:21:06.089337,2021-05-09 11:47:59.562951,0 days 00:26:53.473614,0.16927728253920465,512,0.0026793817214934785,0.0001,0.0001,25.0,COMPLETE
26,26,0.7561392201131233,2021-05-09 11:47:59.564079,2021-05-09 11:51:59.626029,0 days 00:04:00.061950,0.15255769195797395,1024,0.002913781662806386,0.0001,0.001,45.0,COMPLETE
27,27,0.7008907887454433,2021-05-09 11:51:59.627436,2021-05-09 12:00:19.189893,0 days 00:08:19.562457,0.15783242527918584,2048,0.002081865491442521,0.0001,0.01,100.0,COMPLETE
28,28,0.8094158739953834,2021-05-09 12:00:19.191147,2021-05-09 12:13:56.537934,0 days 00:13:37.346787,0.1719643114832775,2048,0.0020893404323581856,0.0001,0.0005,75.0,COMPLETE
29,29,0.5027307091592158,2021-05-09 12:13:56.538884,2021-05-09 12:35:51.216062,0 days 00:21:54.677178,0.1854573738021247,128,0.002825161400177777,1.0,0.0005,75.0,COMPLETE
30,30,0.7461237003968403,2021-05-09 12:35:51.217120,2021-05-09 12:40:08.910864,0 days 00:04:17.693744,0.17218750431630944,2048,0.0013841444459967646,0.0001,0.0005,105.0,COMPLETE
31,31,0.8084038664144303,2021-05-09 12:40:08.911833,2021-05-09 12:54:49.406042,0 days 00:14:40.494209,0.16703713043744733,2048,0.0020699891055210844,0.0001,0.0005,45.0,COMPLETE
32,32,0.8072051219559557,2021-05-09 12:54:49.407039,2021-05-09 13:07:49.629535,0 days 00:13:00.222496,0.1804409180012551,2048,0.0014726946787135293,0.0001,0.0005,40.0,COMPLETE
33,33,0.79873388559955,2021-05-09 13:07:49.630513,2021-05-09 13:23:50.382639,0 days 00:16:00.752126,0.1917525665636999,2048,0.0013299337552525774,0.0001,0.0005,15.0,COMPLETE
