,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.5128053525440303,2021-05-09 01:02:24.845500,2021-05-09 01:41:53.639496,0 days 00:39:28.793996,0.18579456176227568,128,0.004389006955136502,1.0,0.005,110.0,COMPLETE
1,1,0.795409866139698,2021-05-09 01:41:53.640590,2021-05-09 02:03:13.895879,0 days 00:21:20.255289,0.19636627605010293,2048,0.0025337660753031108,0.001,0.0001,125.0,COMPLETE
2,2,0.7000134469724427,2021-05-09 02:03:13.897037,2021-05-09 02:46:14.131522,0 days 00:43:00.234485,0.18360787635373776,256,0.002349584641669074,1e-05,0.05,160.0,COMPLETE
3,3,0.6739295205680391,2021-05-09 02:46:14.132408,2021-05-09 02:52:15.392890,0 days 00:06:01.260482,0.17781567509498505,1024,0.004480048592987277,1e-05,0.05,130.0,COMPLETE
4,4,0.757856732374316,2021-05-09 02:52:15.393932,2021-05-09 03:05:37.328328,0 days 00:13:21.934396,0.1520477479551205,256,0.0037155181204758412,1e-05,0.005,200.0,COMPLETE
5,5,0.6898523692006003,2021-05-09 03:05:37.329250,2021-05-09 03:17:19.150396,0 days 00:11:41.821146,0.1944668917049584,256,0.0030873932870002867,0.0001,0.0005,145.0,COMPLETE
6,6,0.8048150585811451,2021-05-09 03:17:19.151482,2021-05-09 03:39:24.679530,0 days 00:22:05.528048,0.14561503322165487,1024,0.003273735795474594,0.01,0.001,85.0,COMPLETE
7,7,0.5125689821842968,2021-05-09 03:39:24.680609,2021-05-09 04:38:35.277818,0 days 00:59:10.597209,0.1386488981125862,128,0.004610393902117619,1.0,0.01,5.0,COMPLETE
8,8,0.6839080074114139,2021-05-09 04:38:35.278938,2021-05-09 04:50:27.875946,0 days 00:11:52.597008,0.10992803503589739,256,0.004879236270986995,1e-05,0.0005,90.0,COMPLETE
9,9,0.7784083799752388,2021-05-09 04:50:27.876838,2021-05-09 04:58:56.049745,0 days 00:08:28.172907,0.17506861412184563,512,0.003431322674861871,0.01,0.005,135.0,COMPLETE
10,10,0.7854326109059186,2021-05-09 04:58:56.051041,2021-05-09 05:36:53.523238,0 days 00:37:57.472197,0.11890116963896186,1024,0.001991241860311208,0.1,0.001,55.0,COMPLETE
11,11,0.7937478493610178,2021-05-09 05:36:53.524110,2021-05-09 06:04:38.868693,0 days 00:27:45.344583,0.1496132076605001,2048,0.0014344381362922482,0.001,0.0001,60.0,COMPLETE
12,12,0.7940958091890861,2021-05-09 06:04:38.869756,2021-05-09 06:33:50.950970,0 days 00:29:12.081214,0.13230119415499228,2048,0.0024977316821382187,0.001,0.0001,75.0,COMPLETE
13,13,0.7951185590714206,2021-05-09 06:33:50.951931,2021-05-09 06:49:52.819264,0 days 00:16:01.867333,0.15883645695250362,2048,0.003723659845920603,0.01,0.001,185.0,COMPLETE
14,14,0.8035839154852424,2021-05-09 06:49:52.820146,2021-05-09 07:04:29.895307,0 days 00:14:37.075161,0.16581135603119893,1024,0.0010069343555306923,0.001,0.001,20.0,COMPLETE
15,15,0.8032239074138807,2021-05-09 07:04:29.896333,2021-05-09 07:45:53.336908,0 days 00:41:23.440575,0.16717716739773436,1024,0.0010631347029172037,0.01,0.001,15.0,COMPLETE
16,16,0.7851079068403017,2021-05-09 07:45:53.338167,2021-05-09 07:54:18.114743,0 days 00:08:24.776576,0.13582204989033883,1024,0.0016932533369405762,0.0001,0.001,30.0,COMPLETE
17,17,0.8033119361009466,2021-05-09 07:54:18.116235,2021-05-09 08:05:50.815756,0 days 00:11:32.699521,0.16291472567823337,1024,0.0030023598490753227,0.001,0.001,35.0,COMPLETE
18,18,0.5402088787830203,2021-05-09 08:05:50.816644,2021-05-09 08:10:27.595666,0 days 00:04:36.779022,0.12360759480372815,1024,0.004022202405108033,0.1,0.01,95.0,COMPLETE
19,19,0.8090159392171213,2021-05-09 08:10:27.596727,2021-05-09 08:31:34.137055,0 days 00:21:06.540328,0.14684024403114251,512,0.0032281870213850114,0.01,0.001,45.0,COMPLETE
20,20,0.8115338221371811,2021-05-09 08:31:34.138012,2021-05-09 08:51:00.643611,0 days 00:19:26.505599,0.10021320590212024,512,0.0031976137065283824,0.01,0.001,50.0,COMPLETE
21,21,0.810380575464598,2021-05-09 08:51:00.644684,2021-05-09 09:15:46.244828,0 days 00:24:45.600144,0.1457834731013069,512,0.003382438952546555,0.01,0.001,50.0,COMPLETE
22,22,0.8151620991491401,2021-05-09 09:15:46.245742,2021-05-09 09:44:09.352274,0 days 00:28:23.106532,0.10607967478598038,512,0.0028062199586142192,0.01,0.001,50.0,COMPLETE
23,23,0.8129444201067338,2021-05-09 09:44:09.353240,2021-05-09 10:06:13.597835,0 days 00:22:04.244595,0.10624096955493081,512,0.0027253095310228867,0.01,0.001,65.0,COMPLETE
24,24,0.814134517666208,2021-05-09 10:06:13.598803,2021-05-09 10:30:54.719945,0 days 00:24:41.121142,0.10409579062251943,512,0.0026226019731007194,0.01,0.001,65.0,COMPLETE
