,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.5005002065105554,2021-05-12 23:25:41.301140,2021-05-12 23:48:42.991156,0 days 00:23:01.690016,0.18579456176227568,128,0.004389006955136502,1.0,0.005,55.0,COMPLETE
1,1,0.789726060908249,2021-05-12 23:48:42.992023,2021-05-13 00:12:26.268823,0 days 00:23:43.276800,0.19636627605010293,2048,0.0025337660753031108,0.001,0.0001,65.0,COMPLETE
2,2,0.7759168106953561,2021-05-13 00:12:26.269764,2021-05-13 00:39:28.163096,0 days 00:27:01.893332,0.18360787635373776,256,0.002349584641669074,1e-05,0.05,80.0,COMPLETE
3,3,0.7919961596131586,2021-05-13 00:39:28.164272,2021-05-13 00:45:28.396325,0 days 00:06:00.232053,0.17781567509498505,1024,0.004480048592987277,1e-05,0.05,65.0,COMPLETE
4,4,0.794749968180642,2021-05-13 00:45:28.397320,2021-05-13 01:04:39.793318,0 days 00:19:11.395998,0.1520477479551205,256,0.0037155181204758412,1e-05,0.005,100.0,COMPLETE
5,5,0.7923856045635983,2021-05-13 01:04:39.794519,2021-05-13 01:33:15.543230,0 days 00:28:35.748711,0.1944668917049584,256,0.0030873932870002867,0.0001,0.0005,75.0,COMPLETE
6,6,0.5565050012423237,2021-05-13 01:33:15.544329,2021-05-13 01:37:06.340533,0 days 00:03:50.796204,0.14561503322165487,1024,0.003273735795474594,0.01,0.001,45.0,COMPLETE
7,7,0.4856822424073024,2021-05-13 01:37:06.341557,2021-05-13 01:58:02.923199,0 days 00:20:56.581642,0.1386488981125862,128,0.004610393902117619,1.0,0.01,5.0,COMPLETE
8,8,0.7939142281548548,2021-05-13 01:58:02.924299,2021-05-13 02:42:18.998883,0 days 00:44:16.074584,0.10992803503589739,256,0.004879236270986995,1e-05,0.0005,45.0,COMPLETE
9,9,0.5018806486281033,2021-05-13 02:42:18.999922,2021-05-13 02:49:36.674565,0 days 00:07:17.674643,0.17506861412184563,512,0.003431322674861871,0.01,0.005,70.0,COMPLETE
10,10,0.5069728583285711,2021-05-13 02:49:36.675598,2021-05-13 03:00:22.485124,0 days 00:10:45.809526,0.12234166263141551,512,0.0011524243149327804,0.1,0.005,100.0,COMPLETE
11,11,0.7937436252348722,2021-05-13 03:00:22.486233,2021-05-13 03:44:06.455228,0 days 00:43:43.968995,0.10323187186510167,256,0.0049536543335693016,1e-05,0.0005,30.0,COMPLETE
12,12,0.7942194674061813,2021-05-13 03:44:06.456537,2021-05-13 04:27:31.566857,0 days 00:43:25.110320,0.160250042406817,256,0.0038789804046782147,1e-05,0.0005,30.0,COMPLETE
13,13,0.7942405034518595,2021-05-13 04:27:31.567769,2021-05-13 05:55:50.621893,0 days 01:28:19.054124,0.16230214822552472,256,0.003841463674543816,1e-05,0.0001,15.0,COMPLETE
14,14,0.7951989033348307,2021-05-13 05:55:50.623030,2021-05-13 08:00:15.444604,0 days 02:04:24.821574,0.1605477859346066,256,0.0037717970473625175,0.001,0.0001,5.0,COMPLETE
15,15,0.7895567203560618,2021-05-13 08:00:15.445570,2021-05-13 08:15:06.736257,0 days 00:14:51.290687,0.13694381731297844,2048,0.0024309611008631908,0.001,0.0001,100.0,COMPLETE
16,16,0.7910001257907856,2021-05-13 08:15:06.737366,2021-05-13 08:43:26.075119,0 days 00:28:19.337753,0.15947946566393276,256,0.003880704011522863,0.001,0.001,90.0,COMPLETE
17,17,0.795287269080506,2021-05-13 08:43:26.076121,2021-05-13 10:48:41.601711,0 days 02:05:15.525590,0.12588545187068798,256,0.0018100269273387591,0.001,0.0001,5.0,COMPLETE
18,18,0.7913516330645975,2021-05-13 10:48:41.603060,2021-05-13 11:52:05.432228,0 days 01:03:23.829168,0.12447276274564119,2048,0.0013118941641084643,0.001,0.0001,5.0,COMPLETE
19,19,0.7931211266839423,2021-05-13 11:52:05.433128,2021-05-13 12:23:36.655695,0 days 00:31:31.222567,0.1235552739558494,1024,0.0017655385600939557,0.001,0.0001,20.0,COMPLETE
20,20,0.8052073230332597,2021-05-13 12:23:36.657153,2021-05-13 12:47:39.519464,0 days 00:24:02.862311,0.13315712593121384,512,0.0017886527793637755,0.0001,0.01,15.0,COMPLETE
21,21,0.8049945570289121,2021-05-13 12:47:39.520420,2021-05-13 13:11:36.167373,0 days 00:23:56.646953,0.13459773430820082,512,0.0018316061829784889,0.0001,0.01,15.0,COMPLETE
22,22,0.8032297924828312,2021-05-13 13:11:36.168921,2021-05-13 13:35:48.161872,0 days 00:24:11.992951,0.13182577356464154,512,0.001795897024521588,0.0001,0.01,20.0,COMPLETE
23,23,0.806365133453781,2021-05-13 13:35:48.163350,2021-05-13 14:08:21.221536,0 days 00:32:33.058186,0.1354648130204157,512,0.0016420200047398206,0.0001,0.01,20.0,COMPLETE
24,24,0.8057743799285274,2021-05-13 14:08:21.222542,2021-05-13 14:41:00.076530,0 days 00:32:38.853988,0.1114561616242367,512,0.001464266906866228,0.0001,0.01,30.0,COMPLETE
25,25,0.8055674041553467,2021-05-13 14:41:00.077936,2021-05-13 15:13:35.896198,0 days 00:32:35.818262,0.11333743870289004,512,0.001102309779284418,0.0001,0.01,30.0,COMPLETE
26,26,0.8012499755728628,2021-05-13 15:13:35.897393,2021-05-13 15:37:53.240172,0 days 00:24:17.342779,0.11303074446795766,512,0.0010217967198885144,0.0001,0.01,35.0,COMPLETE
27,27,0.8008868801471669,2021-05-13 15:37:53.241537,2021-05-13 16:02:05.270048,0 days 00:24:12.028511,0.10310226649091542,512,0.0013969166269921134,0.0001,0.01,40.0,COMPLETE
28,28,0.8059500348828748,2021-05-13 16:02:05.270982,2021-05-13 16:34:34.684870,0 days 00:32:29.413888,0.11324799365857033,512,0.0015337765643872953,0.0001,0.01,25.0,COMPLETE
29,29,0.7929177303962971,2021-05-13 16:34:34.686242,2021-05-13 17:37:08.366398,0 days 01:02:33.680156,0.10008615975800222,128,0.0021201903298779684,0.0001,0.01,50.0,COMPLETE
30,30,0.5027836683718124,2021-05-13 17:37:08.367306,2021-05-13 17:45:59.284347,0 days 00:08:50.917041,0.11671917673727172,512,0.001440874227603872,0.1,0.01,25.0,COMPLETE
31,31,0.8005912823099769,2021-05-13 17:45:59.285426,2021-05-13 18:10:16.604410,0 days 00:24:17.318984,0.10895739594948191,512,0.0010852591163969054,0.0001,0.01,35.0,COMPLETE
32,32,0.8042995742162867,2021-05-13 18:10:16.605581,2021-05-13 18:42:59.677842,0 days 00:32:43.072261,0.11486014954020761,512,0.0027154438750131515,0.0001,0.01,25.0,COMPLETE
33,33,0.8040842821947567,2021-05-13 18:42:59.679105,2021-05-13 19:16:19.215007,0 days 00:33:19.535902,0.10618389912172149,512,0.002147086870214051,0.0001,0.01,55.0,COMPLETE
34,34,0.5052862913798525,2021-05-13 19:16:19.216059,2021-05-13 19:26:01.983757,0 days 00:09:42.767698,0.11904095000331141,512,0.0014806893053123406,1.0,0.05,35.0,COMPLETE
35,35,0.8040512145664765,2021-05-13 19:26:01.984697,2021-05-13 19:58:50.005543,0 days 00:32:48.020846,0.14231267877168294,512,0.002086753274473231,0.0001,0.01,25.0,COMPLETE
36,36,0.8048950901361877,2021-05-13 19:58:50.006661,2021-05-13 20:23:03.785396,0 days 00:24:13.778735,0.1273765562569885,512,0.00159287265275085,0.0001,0.01,10.0,COMPLETE
37,37,0.7626967068917623,2021-05-13 20:23:03.786361,2021-05-13 20:35:22.565896,0 days 00:12:18.779535,0.10027663560026294,512,0.001154197645436735,0.0001,0.05,30.0,COMPLETE
38,38,0.7943127711245627,2021-05-13 20:35:22.566955,2021-05-13 21:35:10.107995,0 days 00:59:47.541040,0.1188428569830992,128,0.0027844199216446397,0.0001,0.001,45.0,COMPLETE
39,39,0.5043907048678317,2021-05-13 21:35:10.109096,2021-05-13 21:39:33.122814,0 days 00:04:23.013718,0.14948755680989775,1024,0.0012680477008157783,0.01,0.01,20.0,COMPLETE
40,40,0.49988733655784534,2021-05-13 21:39:33.123821,2021-05-13 21:42:07.700880,0 days 00:02:34.577059,0.11170473092220137,2048,0.0015688737823619369,1.0,0.01,40.0,COMPLETE
41,41,0.8053980354081428,2021-05-13 21:42:07.702029,2021-05-13 22:06:22.595131,0 days 00:24:14.893102,0.13192114203462038,512,0.0010029970702125392,0.0001,0.01,15.0,COMPLETE
42,42,0.8053386208183022,2021-05-13 22:06:22.596499,2021-05-13 22:30:30.953310,0 days 00:24:08.356811,0.13078365799092495,512,0.0010906753234216284,0.0001,0.01,10.0,COMPLETE
43,43,0.8061774558879735,2021-05-13 22:30:30.954254,2021-05-13 23:11:37.372899,0 days 00:41:06.418645,0.14008435441388123,512,0.0010299693775371764,0.0001,0.01,60.0,COMPLETE
44,44,0.8074767412129923,2021-05-13 23:11:37.374352,2021-05-13 23:45:01.965659,0 days 00:33:24.591307,0.13887818959201886,512,0.0020018224626638602,0.0001,0.005,60.0,COMPLETE
45,45,0.8070531520972694,2021-05-13 23:45:01.966928,2021-05-14 00:18:22.361154,0 days 00:33:20.394226,0.14240563569838563,512,0.0020357402889514603,0.0001,0.005,60.0,COMPLETE
46,46,0.5064485348259617,2021-05-14 00:18:22.362072,2021-05-14 00:30:50.991843,0 days 00:12:28.629771,0.1439408454992768,512,0.0022724399909713443,0.1,0.005,65.0,COMPLETE
47,47,0.5026238872118949,2021-05-14 00:30:50.992957,2021-05-14 00:38:06.290578,0 days 00:07:15.297621,0.15204176269733988,512,0.0020204803845871957,0.01,0.005,60.0,COMPLETE
48,48,0.7944342967731183,2021-05-14 00:38:06.291928,2021-05-14 01:23:13.168995,0 days 00:45:06.877067,0.14039709451048535,128,0.0026811578375896504,0.0001,0.005,75.0,COMPLETE
49,49,0.8071513399615067,2021-05-14 01:23:13.169883,2021-05-14 01:56:26.912303,0 days 00:33:13.742420,0.14736811500605712,512,0.002459373398181877,0.0001,0.005,60.0,COMPLETE
50,50,0.8059066389073227,2021-05-14 01:56:26.913584,2021-05-14 02:18:43.734972,0 days 00:22:16.821388,0.1562674971544388,1024,0.002995863184631848,0.0001,0.005,60.0,COMPLETE
