,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.5103682163071651,2021-05-12 23:25:44.444110,2021-05-13 00:05:49.421578,0 days 00:40:04.977468,0.7721524764043048,128,1.0,0.005,55.0,COMPLETE
1,1,0.49920258340993323,2021-05-13 00:05:49.422418,2021-05-13 00:13:45.479681,0 days 00:07:56.057263,0.26778817054395965,512,0.01,0.01,85.0,COMPLETE
2,2,0.5104440980683789,2021-05-13 00:13:45.480659,2021-05-13 00:19:51.945476,0 days 00:06:06.464817,0.7125546170240173,512,0.1,0.0005,10.0,COMPLETE
3,3,0.7760689868903015,2021-05-13 00:19:51.946381,2021-05-13 00:35:30.826984,0 days 00:15:38.880603,0.7524725263960044,256,1e-05,0.05,55.0,COMPLETE
4,4,0.5393925817844649,2021-05-13 00:35:30.827993,2021-05-13 00:41:15.093407,0 days 00:05:44.265414,0.7493595347946888,1024,0.1,0.0001,35.0,COMPLETE
5,5,0.7963914666766788,2021-05-13 00:41:15.094361,2021-05-13 00:57:49.431701,0 days 00:16:34.337340,0.7192447162094091,512,1e-05,0.005,80.0,COMPLETE
6,6,0.5563984048551368,2021-05-13 00:57:49.433244,2021-05-13 01:05:33.531155,0 days 00:07:44.097911,0.5238219926696757,1024,0.01,0.0001,50.0,COMPLETE
7,7,0.7986258653640173,2021-05-13 01:05:33.532011,2021-05-13 01:17:51.504750,0 days 00:12:17.972739,0.42624564140779825,512,1e-05,0.01,55.0,COMPLETE
8,8,0.7895222250346609,2021-05-13 01:17:51.505917,2021-05-13 01:30:00.375962,0 days 00:12:08.870045,0.1217050038831728,2048,0.001,0.001,20.0,COMPLETE
9,9,0.4993417783628489,2021-05-13 01:30:00.377215,2021-05-13 01:51:02.489779,0 days 00:21:02.112564,0.3478462181234645,128,1.0,0.01,35.0,COMPLETE
10,10,0.794578196449056,2021-05-13 01:51:02.490833,2021-05-13 02:19:28.487296,0 days 00:28:25.996463,0.01116174481504928,256,0.0001,0.01,70.0,COMPLETE
11,11,0.8003948078989437,2021-05-13 02:19:28.488175,2021-05-13 02:35:20.298697,0 days 00:15:51.810522,0.550437741657042,512,1e-05,0.005,100.0,COMPLETE
12,12,0.7994659794621757,2021-05-13 02:35:20.299639,2021-05-13 02:51:11.706152,0 days 00:15:51.406513,0.5266689275636963,512,1e-05,0.005,100.0,COMPLETE
13,13,0.7998679289025435,2021-05-13 02:51:11.707124,2021-05-13 03:07:02.011107,0 days 00:15:50.303983,0.5660280715080266,512,1e-05,0.005,100.0,COMPLETE
14,14,0.7997746585055456,2021-05-13 03:07:02.012300,2021-05-13 03:22:51.887508,0 days 00:15:49.875208,0.5985874680392919,512,1e-05,0.005,100.0,COMPLETE
15,15,0.7887846344253608,2021-05-13 03:22:51.889099,2021-05-13 03:33:30.797191,0 days 00:10:38.908092,0.6239880396542885,2048,0.0001,0.005,90.0,COMPLETE
16,16,0.7922770780993557,2021-05-13 03:33:30.798046,2021-05-13 03:49:28.443876,0 days 00:15:57.645830,0.8907626164884748,512,1e-05,0.005,100.0,COMPLETE
17,17,0.7056739528673235,2021-05-13 03:49:28.444918,2021-05-13 04:05:07.748538,0 days 00:15:39.303620,0.26589259190605385,512,0.001,0.05,70.0,COMPLETE
18,18,0.7916494736872108,2021-05-13 04:05:07.749448,2021-05-13 04:13:00.868928,0 days 00:07:53.119480,0.42234669228415656,1024,1e-05,0.001,90.0,COMPLETE
19,19,0.7904898575040258,2021-05-13 04:13:00.869781,2021-05-13 04:21:29.152890,0 days 00:08:28.283109,0.8625940175738477,2048,1e-05,0.0005,75.0,COMPLETE
20,20,0.7996229372756433,2021-05-13 04:21:29.153944,2021-05-13 04:43:31.076874,0 days 00:22:01.922930,0.593817479473403,256,1e-05,0.005,100.0,COMPLETE
21,21,0.7984538757618473,2021-05-13 04:43:31.077798,2021-05-13 04:59:18.846431,0 days 00:15:47.768633,0.5966856474121252,512,1e-05,0.005,100.0,COMPLETE
22,22,0.798035810306224,2021-05-13 04:59:18.847794,2021-05-13 05:15:06.119997,0 days 00:15:47.272203,0.5086697479367813,512,1e-05,0.005,90.0,COMPLETE
23,23,0.7992143184322226,2021-05-13 05:15:06.120895,2021-05-13 05:30:52.274476,0 days 00:15:46.153581,0.6560759654657242,512,1e-05,0.005,95.0,COMPLETE
24,24,0.7962825467637934,2021-05-13 05:30:52.275670,2021-05-13 05:45:40.406726,0 days 00:14:48.131056,0.45582151630663603,512,1e-05,0.005,80.0,COMPLETE
25,25,0.5043139285556321,2021-05-13 05:45:40.407600,2021-05-13 06:09:38.463530,0 days 00:23:58.055930,0.5501926733390691,128,0.01,0.005,65.0,COMPLETE
26,26,0.7822998267103513,2021-05-13 06:09:38.464929,2021-05-13 06:31:15.026118,0 days 00:21:36.561189,0.3388496169636911,512,0.001,0.005,95.0,COMPLETE
27,27,0.50207146353032,2021-05-13 06:31:15.026977,2021-05-13 06:38:21.632810,0 days 00:07:06.605833,0.6669335886778902,512,1.0,0.001,80.0,COMPLETE
28,28,0.7843477781598858,2021-05-13 06:38:21.633862,2021-05-13 06:56:37.714864,0 days 00:18:16.081002,0.8115341967043787,512,0.0001,0.0005,90.0,COMPLETE
