,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.5042958683658125,2021-05-12 23:25:47.093335,2021-05-12 23:48:21.239790,0 days 00:22:34.146455,0.18579456176227568,128,0.004389006955136502,1.0,0.005,55.0,COMPLETE
1,1,0.7929855586354538,2021-05-12 23:48:21.240655,2021-05-13 00:11:01.414676,0 days 00:22:40.174021,0.19636627605010293,2048,0.0025337660753031108,0.001,0.0001,65.0,COMPLETE
2,2,0.7627287428387477,2021-05-13 00:11:01.415854,2021-05-13 00:28:16.089928,0 days 00:17:14.674074,0.18360787635373776,256,0.002349584641669074,1e-05,0.05,80.0,COMPLETE
3,3,0.742787052132668,2021-05-13 00:28:16.090839,2021-05-13 00:32:34.905717,0 days 00:04:18.814878,0.17781567509498505,1024,0.004480048592987277,1e-05,0.05,65.0,COMPLETE
4,4,0.7964747637272975,2021-05-13 00:32:34.907203,2021-05-13 01:00:40.941515,0 days 00:28:06.034312,0.1520477479551205,256,0.0037155181204758412,1e-05,0.005,100.0,COMPLETE
5,5,0.7951296935398532,2021-05-13 01:00:40.942507,2021-05-13 01:25:53.933074,0 days 00:25:12.990567,0.1944668917049584,256,0.0030873932870002867,0.0001,0.0005,75.0,COMPLETE
6,6,0.5496465544469458,2021-05-13 01:25:53.934058,2021-05-13 01:29:44.007373,0 days 00:03:50.073315,0.14561503322165487,1024,0.003273735795474594,0.01,0.001,45.0,COMPLETE
7,7,0.49113324394863683,2021-05-13 01:29:44.008264,2021-05-13 01:50:32.288925,0 days 00:20:48.280661,0.1386488981125862,128,0.004610393902117619,1.0,0.01,5.0,COMPLETE
8,8,0.7920747916700971,2021-05-13 01:50:32.290401,2021-05-13 02:18:53.543241,0 days 00:28:21.252840,0.10992803503589739,256,0.004879236270986995,1e-05,0.0005,45.0,COMPLETE
9,9,0.7231464175627026,2021-05-13 02:18:53.544268,2021-05-13 02:36:23.784281,0 days 00:17:30.240013,0.17506861412184563,512,0.003431322674861871,0.01,0.005,70.0,COMPLETE
10,10,0.5101225620973713,2021-05-13 02:36:23.785335,2021-05-13 02:43:37.521134,0 days 00:07:13.735799,0.12234166263141551,512,0.0011524243149327804,0.1,0.005,100.0,COMPLETE
11,11,0.7885844844094169,2021-05-13 02:43:37.522144,2021-05-13 03:09:03.904836,0 days 00:25:26.382692,0.1602197852450996,256,0.003434191961241147,0.0001,0.0005,100.0,COMPLETE
12,12,0.7962896865109893,2021-05-13 03:09:03.905928,2021-05-13 03:34:20.890409,0 days 00:25:16.984481,0.15503549257932467,256,0.0038972920349856456,0.0001,0.0005,90.0,COMPLETE
13,13,0.7807668533969654,2021-05-13 03:34:20.891787,2021-05-13 04:01:02.703929,0 days 00:26:41.812142,0.1637501942874261,256,0.0039224715207891786,0.0001,0.01,90.0,COMPLETE
14,14,0.5426176136668772,2021-05-13 04:01:02.705220,2021-05-13 04:06:20.365682,0 days 00:05:17.660462,0.1326235764946728,2048,0.0037717970473625175,0.1,0.0001,100.0,COMPLETE
15,15,0.7921692270339235,2021-05-13 04:06:20.366961,2021-05-13 04:34:07.134188,0 days 00:27:46.767227,0.1568866143568885,256,0.0023601935901263254,0.001,0.001,20.0,COMPLETE
16,16,0.793887077635317,2021-05-13 04:34:07.136820,2021-05-13 04:59:08.914910,0 days 00:25:01.778090,0.14692873549982755,256,0.003956686983887124,0.0001,0.0005,85.0,COMPLETE
17,17,0.7860370736172707,2021-05-13 04:59:08.915815,2021-05-13 05:19:39.706455,0 days 00:20:30.790640,0.12588545187068798,256,0.001682080453069974,1e-05,0.005,90.0,COMPLETE
18,18,0.7839663803235447,2021-05-13 05:19:39.707543,2021-05-13 05:25:45.910205,0 days 00:06:06.202662,0.1700498327328689,1024,0.00278469669107122,0.0001,0.005,30.0,COMPLETE
19,19,0.7929351869564398,2021-05-13 05:25:45.913358,2021-05-13 05:29:44.297128,0 days 00:03:58.383770,0.1541201754116509,2048,0.004053029948520531,1e-05,0.0005,100.0,COMPLETE
20,20,0.8028460839367084,2021-05-13 05:29:44.298347,2021-05-13 05:48:03.757067,0 days 00:18:19.458720,0.10844865431898057,512,0.004868269400683373,1e-05,0.005,90.0,COMPLETE
21,21,0.803870669058315,2021-05-13 05:48:03.757993,2021-05-13 06:03:48.256245,0 days 00:15:44.498252,0.1031915560987822,512,0.004949150093653534,1e-05,0.005,90.0,COMPLETE
22,22,0.8004911233577505,2021-05-13 06:03:48.257362,2021-05-13 06:19:26.410236,0 days 00:15:38.152874,0.1007044762955245,512,0.004962206189345996,1e-05,0.005,80.0,COMPLETE
23,23,0.8035129358121681,2021-05-13 06:19:26.411223,2021-05-13 06:35:04.653330,0 days 00:15:38.242107,0.10154766006966023,512,0.004989905728781181,1e-05,0.005,80.0,COMPLETE
24,24,0.776743616745609,2021-05-13 06:35:04.654458,2021-05-13 06:42:10.196312,0 days 00:07:05.541854,0.10349730840282113,512,0.004909199797722005,1e-05,0.005,55.0,COMPLETE
25,25,0.8037581324937356,2021-05-13 06:42:10.197670,2021-05-13 06:57:51.695541,0 days 00:15:41.497871,0.11330955778217859,512,0.0046889275347604484,1e-05,0.005,90.0,COMPLETE
26,26,0.8004376873930524,2021-05-13 06:57:51.696776,2021-05-13 07:16:00.900426,0 days 00:18:09.203650,0.11571200026442324,512,0.004273104268210013,1e-05,0.005,75.0,COMPLETE
27,27,0.7458951118617296,2021-05-13 07:16:00.901341,2021-05-13 07:22:18.513236,0 days 00:06:17.611895,0.10062637955740347,512,0.004623091722685255,1e-05,0.005,65.0,COMPLETE
28,28,0.7928151633333219,2021-05-13 07:22:18.514683,2021-05-13 07:37:57.814824,0 days 00:15:39.300141,0.11715803500062366,512,0.004671534383699859,0.001,0.001,85.0,COMPLETE
