,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.8009874581798696,2021-05-12 23:25:49.651504,2021-05-12 23:57:25.663656,0 days 00:31:36.012152,0.18579456176227568,128,0.004389006955136502,1.0,0.005,55.0,COMPLETE
1,1,0.7938154110291072,2021-05-12 23:57:25.664694,2021-05-13 00:10:12.204694,0 days 00:12:46.540000,0.19636627605010293,2048,0.0025337660753031108,0.001,0.0001,65.0,COMPLETE
2,2,0.7753909928568592,2021-05-13 00:10:12.205984,2021-05-13 00:26:08.050545,0 days 00:15:55.844561,0.18360787635373776,256,0.002349584641669074,1e-05,0.05,80.0,COMPLETE
3,3,0.7856784804231131,2021-05-13 00:26:08.051768,2021-05-13 00:30:02.007681,0 days 00:03:53.955913,0.17781567509498505,1024,0.004480048592987277,1e-05,0.05,65.0,COMPLETE
4,4,0.7953827796997438,2021-05-13 00:30:02.008605,2021-05-13 00:42:51.744445,0 days 00:12:49.735840,0.1520477479551205,256,0.0037155181204758412,1e-05,0.005,100.0,COMPLETE
5,5,0.7923596997511642,2021-05-13 00:42:51.745366,2021-05-13 01:11:11.651898,0 days 00:28:19.906532,0.1944668917049584,256,0.0030873932870002867,0.0001,0.0005,75.0,COMPLETE
6,6,0.7941523607031349,2021-05-13 01:11:11.652931,2021-05-13 01:21:52.943736,0 days 00:10:41.290805,0.14561503322165487,1024,0.003273735795474594,0.01,0.001,45.0,COMPLETE
7,7,0.5486962593496982,2021-05-13 01:21:52.944635,2021-05-13 01:42:31.977095,0 days 00:20:39.032460,0.1386488981125862,128,0.004610393902117619,1.0,0.01,5.0,COMPLETE
8,8,0.7938593414283858,2021-05-13 01:42:31.978199,2021-05-13 02:25:53.106893,0 days 00:43:21.128694,0.10992803503589739,256,0.004879236270986995,1e-05,0.0005,45.0,COMPLETE
9,9,0.8024411727379902,2021-05-13 02:25:53.107811,2021-05-13 02:40:40.641845,0 days 00:14:47.534034,0.17506861412184563,512,0.003431322674861871,0.01,0.005,70.0,COMPLETE
10,10,0.79974141017284,2021-05-13 02:40:40.643075,2021-05-13 02:59:23.663781,0 days 00:18:43.020706,0.15965591577129576,512,0.001543490638563086,0.1,0.005,20.0,COMPLETE
11,11,0.8044058886533061,2021-05-13 02:59:23.664973,2021-05-13 03:06:33.620511,0 days 00:07:09.955538,0.1710242885236192,512,0.00408355344578774,0.01,0.005,100.0,COMPLETE
12,12,0.8045337940651971,2021-05-13 03:06:33.621401,2021-05-13 03:13:43.706780,0 days 00:07:10.085379,0.17011525730293783,512,0.003730243498775754,0.01,0.005,100.0,COMPLETE
13,13,0.8044930061286945,2021-05-13 03:13:43.708217,2021-05-13 03:20:53.948324,0 days 00:07:10.240107,0.16357045431235506,512,0.003973909295173844,0.01,0.005,100.0,COMPLETE
14,14,0.7993106300462544,2021-05-13 03:20:53.949212,2021-05-13 03:36:35.793435,0 days 00:15:41.844223,0.12582014077251924,512,0.003853002922120528,0.01,0.001,90.0,COMPLETE
15,15,0.789736054760095,2021-05-13 03:36:35.794476,2021-05-13 03:55:03.102483,0 days 00:18:27.308007,0.16300593682689013,512,0.002399318144160634,0.01,0.0001,90.0,COMPLETE
16,16,0.8044359906784609,2021-05-13 03:55:03.103448,2021-05-13 04:02:15.849884,0 days 00:07:12.746436,0.13222198918659084,512,0.00404364559340927,0.01,0.005,100.0,COMPLETE
17,17,0.7963027625908026,2021-05-13 04:02:15.850942,2021-05-13 04:06:59.225562,0 days 00:04:43.374620,0.16230915543000865,2048,0.004972899606683284,0.0001,0.01,85.0,COMPLETE
18,18,0.8024346686602628,2021-05-13 04:06:59.226546,2021-05-13 04:22:22.059512,0 days 00:15:22.832966,0.1519768275374283,512,0.002814496728801041,0.001,0.005,30.0,COMPLETE
19,19,0.8077057308862957,2021-05-13 04:22:22.061069,2021-05-13 04:29:34.360843,0 days 00:07:12.299774,0.1666190999875976,512,0.003534859569172765,0.1,0.005,100.0,COMPLETE
20,20,0.807362268163399,2021-05-13 04:29:34.362199,2021-05-13 04:38:32.584062,0 days 00:08:58.221863,0.1905971221693465,1024,0.0016395244789444267,0.1,0.005,90.0,COMPLETE
21,21,0.8073802142915598,2021-05-13 04:38:32.584987,2021-05-13 04:47:31.957903,0 days 00:08:59.372916,0.19999832463953476,1024,0.0010709087496722954,0.1,0.005,90.0,COMPLETE
22,22,0.807376402837932,2021-05-13 04:47:31.959424,2021-05-13 04:56:31.824577,0 days 00:08:59.865153,0.19944073570820783,1024,0.0011020710691130927,0.1,0.005,90.0,COMPLETE
23,23,0.8044699259443019,2021-05-13 04:56:31.825953,2021-05-13 05:05:29.981066,0 days 00:08:58.155113,0.199940710430906,1024,0.001037151119251878,0.1,0.005,80.0,COMPLETE
24,24,0.7765159022560176,2021-05-13 05:05:29.982850,2021-05-13 05:35:23.562636,0 days 00:29:53.579786,0.19962518464033677,1024,0.0010234594786793292,0.1,0.0001,90.0,COMPLETE
25,25,0.8043593130488198,2021-05-13 05:35:23.563882,2021-05-13 05:44:24.906249,0 days 00:09:01.342367,0.18417803284007458,1024,0.0015145921834436107,0.1,0.005,80.0,COMPLETE
26,26,0.8032523472146389,2021-05-13 05:44:24.907488,2021-05-13 05:48:46.578495,0 days 00:04:21.671007,0.10372954795456132,1024,0.00205910064228855,0.1,0.01,60.0,COMPLETE
27,27,0.800241715365954,2021-05-13 05:48:46.579445,2021-05-13 05:59:16.100976,0 days 00:10:29.521531,0.1894676612870487,1024,0.0013246533474395173,0.1,0.001,95.0,COMPLETE
28,28,0.8054297548019855,2021-05-13 05:59:16.102478,2021-05-13 06:07:10.139222,0 days 00:07:54.036744,0.17881508009587627,1024,0.001942447532671396,0.1,0.05,70.0,COMPLETE
29,29,0.6084754158831613,2021-05-13 06:07:10.140978,2021-05-13 06:28:00.551320,0 days 00:20:50.410342,0.18955174984329953,128,0.0012231037978679637,1.0,0.0005,55.0,COMPLETE
30,30,0.7977144627291919,2021-05-13 06:28:00.552228,2021-05-13 06:31:01.891775,0 days 00:03:01.339547,0.12014345027741245,2048,0.0019025927823179574,0.1,0.005,85.0,COMPLETE
31,31,0.8073679263906238,2021-05-13 06:31:01.892687,2021-05-13 06:40:02.167412,0 days 00:09:00.274725,0.19424402807266342,1024,0.001570729050981701,0.1,0.005,90.0,COMPLETE
32,32,0.8088775862699332,2021-05-13 06:40:02.168370,2021-05-13 06:49:01.133191,0 days 00:08:58.964821,0.1969494740739509,1024,0.001246429277022047,0.1,0.005,95.0,COMPLETE
33,33,0.8088650189820131,2021-05-13 06:49:01.134156,2021-05-13 06:58:02.279788,0 days 00:09:01.145632,0.1995921229412783,1024,0.0027369975190376147,0.1,0.005,95.0,COMPLETE
34,34,0.7973734645070774,2021-05-13 06:58:02.281263,2021-05-13 07:03:57.046821,0 days 00:05:54.765558,0.18456638380668966,1024,0.0028718140858728465,0.001,0.005,95.0,COMPLETE
35,35,0.8068779738950235,2021-05-13 07:03:57.047779,2021-05-13 07:30:45.890674,0 days 00:26:48.842895,0.17999524374445178,128,0.003461624933627035,0.1,0.005,75.0,COMPLETE
36,36,0.8044732990935785,2021-05-13 07:30:45.891833,2021-05-13 07:39:13.472808,0 days 00:08:27.580975,0.19510542097347328,1024,0.0026739942636474262,0.1,0.05,95.0,COMPLETE
37,37,0.794378069501762,2021-05-13 07:39:13.474002,2021-05-13 07:49:34.791201,0 days 00:10:21.317199,0.17141975482093863,2048,0.0031262857487976514,0.0001,0.0001,85.0,COMPLETE
38,38,0.806812096238389,2021-05-13 07:49:34.792386,2021-05-13 07:59:31.677031,0 days 00:09:56.884645,0.18923287804963143,1024,0.004393776138702374,0.1,0.005,75.0,COMPLETE
