,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.5081275839579418,2021-04-20 02:49:31.235884,2021-04-20 02:53:25.588425,0 days 00:03:54.352541,128,1.0,0.005,110.0,COMPLETE
1,1,0.8184032393572578,2021-04-20 02:53:25.589451,2021-04-20 02:55:49.168238,0 days 00:02:23.578787,1024,0.0001,0.05,175.0,COMPLETE
2,2,0.8238984532480382,2021-04-20 02:55:49.169223,2021-04-20 02:58:14.754035,0 days 00:02:25.584812,128,1e-05,0.01,80.0,COMPLETE
3,3,0.8134791680759903,2021-04-20 02:58:14.754844,2021-04-20 03:02:34.201078,0 days 00:04:19.446234,256,1e-05,0.05,80.0,COMPLETE
4,4,0.8197286178886862,2021-04-20 03:02:34.201869,2021-04-20 03:04:26.141643,0 days 00:01:51.939774,256,1e-05,0.01,170.0,COMPLETE
5,5,0.8292393865703506,2021-04-20 03:04:26.142498,2021-04-20 03:07:47.130244,0 days 00:03:20.987746,128,0.01,0.001,5.0,COMPLETE
6,6,0.8192562321701122,2021-04-20 03:07:47.131997,2021-04-20 03:09:45.635357,0 days 00:01:58.503360,1024,0.0001,0.05,95.0,COMPLETE
7,7,0.8294511490884202,2021-04-20 03:09:45.636205,2021-04-20 03:11:48.020640,0 days 00:02:02.384435,256,1e-05,0.0005,160.0,COMPLETE
8,8,0.8257302463200735,2021-04-20 03:11:48.021563,2021-04-20 03:13:25.853074,0 days 00:01:37.831511,512,1e-05,0.01,110.0,COMPLETE
9,9,0.819755072503947,2021-04-20 03:13:25.853861,2021-04-20 03:16:33.041061,0 days 00:03:07.187200,512,0.01,0.01,95.0,COMPLETE
10,10,0.5467069663509188,2021-04-20 03:16:33.042142,2021-04-20 03:17:56.622071,0 days 00:01:23.579929,2048,0.1,0.0005,195.0,COMPLETE
11,11,0.8298852344399238,2021-04-20 03:17:56.622905,2021-04-20 03:20:51.703003,0 days 00:02:55.080098,128,0.001,0.001,15.0,COMPLETE
12,12,0.8296982181754182,2021-04-20 03:20:51.703956,2021-04-20 03:45:19.580184,0 days 00:24:27.876228,256,0.001,0.0001,5.0,COMPLETE
13,13,0.830166199063421,2021-04-20 03:45:19.581098,2021-04-20 04:10:34.572724,0 days 00:25:14.991626,128,0.001,0.0001,5.0,COMPLETE
14,14,0.8300390126244571,2021-04-20 04:10:34.573561,2021-04-20 04:15:48.107430,0 days 00:05:13.533869,128,0.001,0.0001,40.0,COMPLETE
15,15,0.8300390139060488,2021-04-20 04:15:48.108215,2021-04-20 04:21:01.128872,0 days 00:05:13.020657,128,0.001,0.0001,40.0,COMPLETE
16,16,0.8298915860082424,2021-04-20 04:21:01.129679,2021-04-20 04:27:08.571203,0 days 00:06:07.441524,2048,0.001,0.0001,45.0,COMPLETE
17,17,0.8301604716302459,2021-04-20 04:27:08.571985,2021-04-20 04:32:14.421125,0 days 00:05:05.849140,128,0.001,0.0001,35.0,COMPLETE
18,18,0.5267033350378161,2021-04-20 04:32:14.422288,2021-04-20 04:34:11.405355,0 days 00:01:56.983067,128,0.1,0.0001,25.0,COMPLETE
19,19,0.5118538245555958,2021-04-20 04:34:11.406202,2021-04-20 04:36:23.751620,0 days 00:02:12.345418,128,1.0,0.0001,60.0,COMPLETE
20,20,0.8298646559224719,2021-04-20 04:36:23.752433,2021-04-20 04:39:59.171496,0 days 00:03:35.419063,512,0.001,0.005,135.0,COMPLETE
21,21,0.8300349345997619,2021-04-20 04:39:59.172680,2021-04-20 04:46:46.537408,0 days 00:06:47.364728,128,0.001,0.0001,30.0,COMPLETE
22,22,0.8300480145243502,2021-04-20 04:46:46.538195,2021-04-20 04:52:07.859896,0 days 00:05:21.321701,128,0.001,0.0001,55.0,COMPLETE
23,23,0.8301870672205904,2021-04-20 04:52:07.861225,2021-04-20 04:55:46.856736,0 days 00:03:38.995511,128,0.001,0.0001,60.0,COMPLETE
