,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.5042761856809382,2021-04-20 02:49:24.377054,2021-04-20 02:53:20.573037,0 days 00:03:56.195983,128,1.0,0.005,110.0,COMPLETE
1,1,0.8200073499794935,2021-04-20 02:53:20.573837,2021-04-20 02:57:11.065423,0 days 00:03:50.491586,1024,0.0001,0.05,175.0,COMPLETE
2,2,0.8274813298750727,2021-04-20 02:57:11.066483,2021-04-20 02:59:36.908713,0 days 00:02:25.842230,128,1e-05,0.01,80.0,COMPLETE
3,3,0.814284303692688,2021-04-20 02:59:36.909534,2021-04-20 03:04:22.202340,0 days 00:04:45.292806,256,1e-05,0.05,80.0,COMPLETE
4,4,0.8273531655816643,2021-04-20 03:04:22.203426,2021-04-20 03:06:26.986525,0 days 00:02:04.783099,256,1e-05,0.01,170.0,COMPLETE
5,5,0.5193243595327649,2021-04-20 03:06:26.987313,2021-04-20 03:09:05.242481,0 days 00:02:38.255168,128,0.01,0.001,5.0,COMPLETE
6,6,0.8223082607113432,2021-04-20 03:09:05.243709,2021-04-20 03:10:56.549117,0 days 00:01:51.305408,1024,0.0001,0.05,95.0,COMPLETE
7,7,0.8325114823436756,2021-04-20 03:10:56.549942,2021-04-20 03:13:02.820224,0 days 00:02:06.270282,256,1e-05,0.0005,160.0,COMPLETE
8,8,0.8307352821551196,2021-04-20 03:13:02.821213,2021-04-20 03:14:40.774805,0 days 00:01:37.953592,512,1e-05,0.01,110.0,COMPLETE
9,9,0.5073390552061093,2021-04-20 03:14:40.775831,2021-04-20 03:17:00.445000,0 days 00:02:19.669169,512,0.01,0.01,95.0,COMPLETE
10,10,0.547749214368927,2021-04-20 03:17:00.446129,2021-04-20 03:18:25.551358,0 days 00:01:25.105229,2048,0.1,0.0005,195.0,COMPLETE
11,11,0.8329913397416882,2021-04-20 03:18:25.552734,2021-04-20 03:21:00.037295,0 days 00:02:34.484561,512,0.001,0.0001,140.0,COMPLETE
12,12,0.8330385369181346,2021-04-20 03:21:00.038068,2021-04-20 03:23:33.100937,0 days 00:02:33.062869,512,0.001,0.0001,145.0,COMPLETE
13,13,0.8329908719607284,2021-04-20 03:23:33.101978,2021-04-20 03:26:03.813972,0 days 00:02:30.711994,512,0.001,0.0001,140.0,COMPLETE
14,14,0.8329913397416882,2021-04-20 03:26:03.815020,2021-04-20 03:28:35.893899,0 days 00:02:32.078879,512,0.001,0.0001,140.0,COMPLETE
15,15,0.8328214340075742,2021-04-20 03:28:35.894668,2021-04-20 03:35:01.004298,0 days 00:06:25.109630,512,0.001,0.0001,40.0,COMPLETE
16,16,0.833266022002817,2021-04-20 03:35:01.005305,2021-04-20 03:37:47.711931,0 days 00:02:46.706626,512,0.001,0.0001,200.0,COMPLETE
17,17,0.8334002943621265,2021-04-20 03:37:47.712821,2021-04-20 03:41:28.831530,0 days 00:03:41.118709,2048,0.001,0.0001,195.0,COMPLETE
18,18,0.4977198049159109,2021-04-20 03:41:28.832450,2021-04-20 03:42:52.006526,0 days 00:01:23.174076,2048,1.0,0.005,200.0,COMPLETE
19,19,0.8327866208514391,2021-04-20 03:42:52.007349,2021-04-20 03:46:44.927355,0 days 00:03:52.920006,2048,0.001,0.001,200.0,COMPLETE
20,20,0.561495648647686,2021-04-20 03:46:44.928218,2021-04-20 03:48:29.040320,0 days 00:01:44.112102,2048,0.1,0.0001,190.0,COMPLETE
21,21,0.8332838284374857,2021-04-20 03:48:29.041105,2021-04-20 03:51:04.769021,0 days 00:02:35.727916,512,0.001,0.0001,160.0,COMPLETE
22,22,0.8333005288585429,2021-04-20 03:51:04.769902,2021-04-20 03:55:35.110673,0 days 00:04:30.340771,2048,0.001,0.0001,175.0,COMPLETE
23,23,0.8333934929551317,2021-04-20 03:55:35.111814,2021-04-20 03:59:15.848004,0 days 00:03:40.736190,2048,0.001,0.0001,180.0,COMPLETE
24,24,0.833393401962123,2021-04-20 03:59:15.849115,2021-04-20 04:02:55.491399,0 days 00:03:39.642284,2048,0.001,0.0001,180.0,COMPLETE
25,25,0.8333934929551317,2021-04-20 04:02:55.492217,2021-04-20 04:06:33.906509,0 days 00:03:38.414292,2048,0.001,0.0001,180.0,COMPLETE
