,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
0,0,0.6542727520405349,2021-04-21 02:34:47.875444,2021-04-21 02:42:34.865972,0 days 00:07:46.990528,2048,0.6100761485266478,1.0,0.05,110.0,COMPLETE
1,1,0.6863985642338769,2021-04-21 02:42:34.867030,2021-04-21 02:47:05.435785,0 days 00:04:30.568755,4096,0.14135331403890808,0.01,0.01,170.0,COMPLETE
2,2,0.6693668440403209,2021-04-21 02:47:05.436764,2021-04-21 02:54:45.292115,0 days 00:07:39.855351,2048,0.16250089224694073,1e-05,0.01,180.0,COMPLETE
3,3,0.7088577982382236,2021-04-21 02:54:45.293209,2021-04-21 03:04:18.735051,0 days 00:09:33.441842,4096,0.03949298999269448,1e-05,0.005,165.0,COMPLETE
4,4,0.6910318731233269,2021-04-21 03:04:18.736191,2021-04-21 03:16:23.167765,0 days 00:12:04.431574,2048,0.8615291093226427,0.01,0.05,20.0,COMPLETE
5,5,0.701479337933024,2021-04-21 03:16:23.168832,2021-04-21 03:22:12.232591,0 days 00:05:49.063759,8192,0.4972427802486445,1e-05,0.05,30.0,COMPLETE
6,6,0.7298542440154231,2021-04-21 03:22:12.233877,2021-04-21 03:40:09.595542,0 days 00:17:57.361665,16384,0.23362264375152436,0.01,0.001,95.0,COMPLETE
7,7,0.7207790216997666,2021-04-21 03:40:09.596797,2021-04-21 03:45:09.106681,0 days 00:04:59.509884,16384,0.13051801617136952,1e-05,0.01,110.0,COMPLETE
8,8,0.6418693297129975,2021-04-21 03:45:09.107666,2021-04-21 03:47:08.592240,0 days 00:01:59.484574,8192,0.22283808821402704,0.01,0.1,55.0,COMPLETE
9,9,0.5061810051279456,2021-04-21 03:47:08.593600,2021-04-21 03:49:18.497550,0 days 00:02:09.903950,4096,0.2637930579017412,1.0,0.001,5.0,COMPLETE
10,10,0.7298311215385055,2021-04-21 03:49:18.498854,2021-04-21 04:12:38.165679,0 days 00:23:19.666825,16384,0.06120773939376389,0.1,0.001,75.0,COMPLETE
11,11,0.7278411198195323,2021-04-21 04:12:38.166794,2021-04-21 04:36:24.457728,0 days 00:23:46.290934,16384,0.056158756289432045,0.1,0.001,70.0,COMPLETE
12,12,0.7285617716317243,2021-04-21 04:36:24.458784,2021-04-21 04:57:13.048524,0 days 00:20:48.589740,16384,0.06742668033965045,0.001,0.001,85.0,COMPLETE
13,13,0.7310164451690074,2021-04-21 04:57:13.050207,2021-04-21 05:13:28.824525,0 days 00:16:15.774318,16384,0.084839766765762,0.0001,0.001,135.0,COMPLETE
14,14,0.7311932676533665,2021-04-21 05:13:28.825795,2021-04-21 05:29:36.279620,0 days 00:16:07.453825,16384,0.09949946318786583,0.0001,0.001,135.0,COMPLETE
15,15,0.7274328277819875,2021-04-21 05:29:36.280728,2021-04-21 05:36:20.082605,0 days 00:06:43.801877,16384,0.09192898892791508,0.0001,0.005,145.0,COMPLETE
16,16,0.7302661603942119,2021-04-21 05:36:20.083618,2021-04-21 05:52:06.690546,0 days 00:15:46.606928,16384,0.032414924235372455,0.0001,0.001,140.0,COMPLETE
