,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
0,0,0.5044863359566866,2021-04-20 02:49:36.857257,2021-04-20 02:54:59.944213,0 days 00:05:23.086956,128,1.0,0.005,110.0,COMPLETE
1,1,0.8140877280359128,2021-04-20 02:54:59.945246,2021-04-20 02:56:51.166064,0 days 00:01:51.220818,1024,0.0001,0.05,175.0,COMPLETE
2,2,0.8251366130583364,2021-04-20 02:56:51.166955,2021-04-20 02:59:33.265302,0 days 00:02:42.098347,128,1e-05,0.01,80.0,COMPLETE
3,3,0.8152431559775188,2021-04-20 02:59:33.266248,2021-04-20 03:03:55.451916,0 days 00:04:22.185668,256,1e-05,0.05,80.0,COMPLETE
4,4,0.8232976276938467,2021-04-20 03:03:55.452978,2021-04-20 03:05:46.739801,0 days 00:01:51.286823,256,1e-05,0.01,170.0,COMPLETE
5,5,0.5231915252320896,2021-04-20 03:05:46.740608,2021-04-20 03:08:42.217100,0 days 00:02:55.476492,128,0.01,0.001,5.0,COMPLETE
6,6,0.8165609513310335,2021-04-20 03:08:42.218268,2021-04-20 03:10:21.172442,0 days 00:01:38.954174,1024,0.0001,0.05,95.0,COMPLETE
7,7,0.829521563579568,2021-04-20 03:10:21.173392,2021-04-20 03:12:25.925890,0 days 00:02:04.752498,256,1e-05,0.0005,160.0,COMPLETE
8,8,0.826918348441317,2021-04-20 03:12:25.926961,2021-04-20 03:14:01.626654,0 days 00:01:35.699693,512,1e-05,0.01,110.0,COMPLETE
9,9,0.5042477663856467,2021-04-20 03:14:01.627460,2021-04-20 03:15:36.314833,0 days 00:01:34.687373,512,0.01,0.01,95.0,COMPLETE
10,10,0.535640054460059,2021-04-20 03:15:36.315698,2021-04-20 03:16:59.203809,0 days 00:01:22.888111,2048,0.1,0.0005,195.0,COMPLETE
11,11,0.8300350204664038,2021-04-20 03:16:59.204608,2021-04-20 03:19:30.228369,0 days 00:02:31.023761,512,0.001,0.0001,140.0,COMPLETE
12,12,0.8300182521209881,2021-04-20 03:19:30.229161,2021-04-20 03:21:59.171859,0 days 00:02:28.942698,512,0.001,0.0001,145.0,COMPLETE
